,S,I,X,R,D
84,6520115.614000031,3416.319198800003,5310.051600400007,44246.86227300001,1238.9121100300008
85,6519614.557100008,3224.8878534000096,5105.81002430002,45119.50020900027,1263.3459277099985
86,6519141.238000004,3044.1477871000043,4903.421836499998,45952.566558000064,1286.6718412999955
87,6518694.598800012,2873.5054579999855,4703.76490210001,46747.327324000034,1308.925124300001
88,6518272.937000014,2712.4004080000022,4507.568304599998,47505.05261300009,1330.1414607999961
89,6517875.289799987,2560.3025428,4315.4302055,48227.04646100011,1350.3573641999967
90,6517499.415100016,2416.7110324000005,4127.834559400009,48914.62809900003,1369.6093729000008
91,6517144.691400008,2281.1528648000008,3945.164058200004,49569.078598000095,1387.9341119999976
92,6516809.8664999865,2153.1807796999965,3767.7163037000078,50191.707542,1405.3678413000023
93,6516494.443799997,2032.3719642999974,3595.7132742999934,50783.801409999964,1421.9463744999948
94,6516196.017099992,1918.327401399994,3429.3113478999935,51346.60776299976,1437.7049585999996
95,6515914.084999988,1810.6698416000024,3268.610966699996,51881.37097499999,1452.678417999996
96,6515649.200600001,1709.042985599997,3113.6644620000006,52389.30105600001,1466.9003989000041
97,6515398.386399985,1613.1103481999996,2964.483978000007,52871.567640999936,1480.4040204000048
98,6515161.619400008,1522.5537902999956,2821.0461164000035,53329.330698000085,1493.221242000001
99,6514939.003100016,1437.0731769999995,2683.2979304000055,53763.68873699985,1505.3832848999978
100,6514727.852899981,1356.3846105999996,2551.162268999998,54175.72474199994,1516.9203754
101,6514528.729400002,1280.220451900005,2424.541207100009,54566.480889000035,1527.8614800999999
102,6514341.269599991,1208.3276307,2303.320361300002,54936.95584200007,1538.2348123999986
103,6514163.956999993,1140.4670589999994,2187.371740999998,55288.122664999966,1548.0674296999994
104,6513996.711600012,1076.413423809999,2076.5567115999934,55620.90789699992,1557.3854074999986
105,6513838.9559000125,1015.9533924499974,1970.7279932000015,55936.200667000005,1566.213633800001
106,6513689.992999994,958.885862750001,1869.7325728000012,56234.87141200009,1574.5763330000002
107,6513549.39150002,905.0208688200021,1773.4126574999946,56517.73260099996,1582.4965081999944
108,6513416.987000008,854.1790308900001,1681.6078833000042,56785.57536799992,1589.996114900003
109,6513291.435500008,806.1909548099997,1594.1564987000042,57039.15640100022,1597.0963280999943
110,6513173.094200015,760.8967337999991,1510.8962786999991,57279.188681000036,1603.8173506999997
111,6513061.953899974,718.1453803400004,1431.6657775999984,57506.371833000085,1610.1783776000016
112,6512956.22000002,677.7943696000012,1356.305205500003,57721.34812400014,1616.1977073999997
113,6512856.716299993,639.7091061100004,1284.6564398000003,57924.76074400002,1621.8932028000006
114,6512762.860699977,603.7624745700001,1216.5646909000004,58117.19673900004,1627.2814015999995
115,6512674.945999995,569.8346477099996,1151.878020399997,58299.22853399981,1632.3783859000046
116,6512591.297099978,537.8122860600016,1090.44847239,58471.39982299996,1637.1992812000035
117,6512511.933999985,507.5885761200009,1032.1315435999977,58634.22460100012,1641.75829229999
118,6512438.396199972,479.06251827999887,976.7873348100009,58788.19822099997,1646.0695212000019
119,6512367.515299995,452.1388347100007,924.2798222299965,58933.784381,1650.1458484000048
120,6512301.350999986,426.7276728899987,874.4777314400025,59071.42335400009,1653.9999167999981
121,6512238.792400027,402.74409100000094,827.2542298399999,59201.54781000009,1657.6433351000014
122,6512179.746799982,380.10796419000036,782.4868717300009,59324.54347399986,1661.0871309000015
123,6512124.153500035,358.74366528000127,740.0579953699992,59440.80517400002,1664.3425205000008
124,6512071.643999992,338.5797289200006,699.854455610001,59550.684021999885,1667.4192243999987
125,6512022.012700009,319.5488177999993,661.767387539999,59654.53418599992,1670.3267472999971
126,6511974.817999985,301.5872531100001,625.6925317399982,59752.660197000005,1673.0745399000027
127,6511930.730899991,284.6350600699994,591.5300918100004,59845.38752300011,1675.6708283000003
128,6511889.101099998,268.6354714799995,559.18429399,59933.00538700003,1678.124194599998
129,6511849.721399994,253.53504276000083,528.5637043399996,60015.786053999844,1680.4420065000002
130,6511812.547499998,239.28321809000045,499.580837850001,60093.99578599999,1682.6318909000033
131,6511777.015900003,225.83238308000023,472.1522693000006,60167.88338800008,1684.7007714999968
132,6511744.601900007,213.13747924000035,446.1982470400008,60237.68163700014,1686.6550538
133,6511713.193500012,201.1560940500002,421.64279441999963,60303.62084599984,1688.5011630999998
134,6511683.635199984,189.84810736999924,398.41356437000076,60365.89701299978,1690.245070699998
135,6511655.828699986,179.1756848599996,376.44145714999917,60424.721785999725,1691.892240199999
136,6511629.953900011,169.10314449999984,355.66083779000024,60480.27920999992,1693.4478529000025
137,6511604.421899991,159.59675385000028,336.00919717999903,60532.7562319998,1694.917346899997
138,6511581.624100012,150.62470925000005,317.4271355500002,60582.32235499992,1696.304960399999
139,6511553.818300015,147.67671854000002,299.85810396999983,60629.12871799996,1697.615458599999
140,6511526.625499987,144.78633763,283.8003650099995,60673.88067100013,1698.8686688999944
141,6511500.029199988,141.95243017,269.1043149999995,60716.73537000018,1700.0685737000028
142,6511474.390300022,139.17391600999989,255.63562539000068,60757.84482699987,1701.219603999998
143,6511448.566000002,136.44969574999968,243.27368259999983,60797.32132300002,1702.3249857999974
144,6511423.76180001,133.7787228700002,231.91011389000022,60835.297506999785,1703.3882978999955
145,6511399.067999997,131.1599658400005,221.44764515999975,60871.864655999925,1704.4122700999958
146,6511375.534299994,128.59239206999982,211.7988135600004,60907.126646999895,1705.399520500001
147,6511351.54319999,126.0750145599998,202.8851368099994,60941.15946000006,1706.3526838999967
148,6511328.627399987,123.60684987999997,194.63604849999953,60974.05761799976,1707.2736818999958
149,6511305.922800035,121.18694973999968,186.98814650999992,61005.88692300002,1708.164828499994
150,6511283.535500024,118.81435037999985,179.8844577300002,61036.705970000025,1709.0275883999968
