Electoral Division,CENTROID_X,CENTROID_Y,Population
247007 - BALLINDAGGAN,690897,647078,799
247011 - BALLYCARNEY,699142,647316,429
247015 - BALLYHOGE,694814,629925,1237
187073 - RATHROBIN,627711,715530,404
187075 - SCREGGAN,629506,722000,1457
187080 - SILVERBROOK,629116,728679,772
237019 - BRACKLIN,660503,759056,259
237028 - CLONARNEY,658360,766791,504
237031 - COLLINSTOWN,650885,766534,501
237052 - HEATHSTOWN,650853,750787,703
237055 - HOPESTOWN,639656,750240,560
237056 - HUNTINGDON,653771,752327,432
247016 - BALLYHUSKARD,703271,638000,1579
247019 - BALLYMORE,707591,649714,480
247022 - BALLYVALDON,714797,637548,728
187083 - TINAMUCK,621250,733501,277
187084 - TINNYCROSS,636027,727832,433
237034 - COPPERALLEY,665548,761652,278
237035 - DELVIN,658240,763412,1072
237042 - FAUGHALSTOWN,645583,766313,237
237044 - FORE EAST,654441,769620,392
237057 - JAMESTOWN,629807,745295,127
237058 - KILBEGGAN,633222,735972,1604
237059 - KILBIXY,632083,760761,603
247026 - BOLABOY,707998,638002,1222
247027 - BREE,694052,633714,1361
187086 - TULLAMORE RURAL,632921,724219,3218
237003 - ATHLONE EAST URBAN,604517,741455,4382
237005 - ATHLONE WEST URBAN,603136,741323,3260
237004 - ATHLONE EAST RURAL,605573,740575,7560
237045 - FORE WEST,649216,771100,386
237053 - HILLTOWN,648495,774763,268
237060 - KILCUMNY,654182,765827,202
237062 - KILLARE,625792,746794,361
237065 - KILLUCAN,656630,751181,1826
237068 - KINNEGAD,659200,746687,2915
247034 - CASTLEBORO,687178,638180,940
247079 - CASTLEDOCKRELL,694261,649990,426
247033 - CASTLE ELLIS,710028,632403,1111
247035 - CASTLE TALBOT,711432,636749,853
237006 - AUBURN,611087,748873,724
237010 - BALLYBRODER,621656,741264,249
237016 - BELLANALACK,617241,740410,579
237064 - KILLUA,666447,767093,1046
237066 - KILLULAGH,655373,760630,469
237067 - KILPATRICK,649509,763839,212
237071 - KNOCKDRIN,647142,758156,588
237073 - LAUREE,630178,735244,205
237074 - MIDDLETON,636288,742438,362
247038 - CLONROCHE,685795,633028,1252
247044 - EDERMINE,700066,632239,1491
237020 - CARN,612104,741348,774
237023 - CASTLEDALY,612514,735170,715
237047 - GLASSAN,608853,745970,846
47212 - KILNAGROSS,540686,545107,582
47231 - KNOCKS,534644,550035,333
47283 - ROSSMORE,533240,546920,343
47250 - MATEHY,555875,577707,3017
47261 - MONKSTOWN RURAL,575082,566583,1086
47005 - AGHERN,589770,590182,245
47030 - BALLYHOOLY,572219,598586,843
47029 - BALLYHOOLAHAN,530331,603016,275
47040 - BANTEER,537450,595437,725
47309 - TEMPLEOMALUS,542608,540585,761
47310 - TIMOLEAGUE,545609,543882,740
47271 - MONKSTOWN URBAN,576496,567741,5219
47046 - BAWNCROSS,537482,609994,345
47038 - BALLYNOE,593500,587804,693
47081 - CASTLECOR,544633,606164,433
47043 - BARLEYHILL,532667,612543,517
47098 - CLONFERT EAST,522044,612148,381
47044 - BARNACURRA,525161,607563,211
47109 - COOLCLOGH,534362,600565,415
47055 - BOHERBOY,525273,602754,619
47161 - GLENLARA,527583,610256,410
47164 - GORTMORE,543879,597037,220
47170 - GREENANE,540596,604111,1283
47085 - CASTLEMAGNER,541506,600773,623
47256 - MILFORD,542224,621253,680
47266 - NAD,540888,589134,86
47099 - CLONFERT WEST,516308,611808,161
47100 - CLONMEEN,540955,597237,285
47314 - TULLYLEASE,536876,617866,407
47139 - DROMINA,545644,618400,626
47025 - BALLYFEARD,570393,556235,374
47026 - BALLYFOYLE,575492,553272,362
47031 - BALLYMACKEAN,561947,544041,373
47179 - KANTURK,536458,604293,1935
47184 - KILBRIN,541979,608687,330
47267 - NEWMARKET,532734,607154,1518
47268 - NEWTOWN,546706,623391,906
47219 - WILLIAMSTOWN,516292,604342,499
47018 - BALLINSPITTLE,559975,547186,659
47032 - BALLYMARTLE,563980,558963,1226
47071 - CARRIGALINE,575412,559400,2462
47209 - KILMEEN,518230,605379,350
47225 - KNOCKATOOAN,522433,617991,310
47280 - ROSKEEN,545779,601162,458
47281 - ROSNALEE,534486,597837,358
47150 - FARRANBRIEN,575908,555745,540
47210 - KILMONOGE,567543,553851,1329
47112 - COOLMAIN,555194,545811,456
47120 - CULLEN,567550,558760,495
47221 - KINSALE RURAL,563396,551184,4913
47233 - KNOCKTEMPLE,542029,613090,476
47252 - MEENS,522230,605693,461
47285 - ROWLS,528649,616476,156
47311 - TINCOORA,541007,593185,489
47215 - KILPATRICK,572824,558424,526
47304 - TEMPLEMARTIN,545632,561451,798
47008 - AHIL,503444,560979,208
47016 - BALLINCOLLIG,559082,568533,18621
47027 - BALLYGARVAN,564501,563924,1787
47270 - OVENS,553876,570807,2342
47277 - RATHCOONEY,569591,576844,8574
47070 - CARRIG,568705,592444,159
47080 - CASTLECOOKE,589364,603602,204
47079 - CASTLE HYDE,578107,598565,816
47042 - BANTRY URBAN,499960,548302,3225
47131 - DOUCE,509777,560224,225
47036 - BALLYNAGLOGH,570453,585983,429
47052 - BISHOPSTOWN,562553,569989,364
47053 - BLACKPOOL,560681,585322,972
47279 - RIVERSTOWN,573216,580427,4496
47298 - St. MARY'S,563658,573881,5538
47084 - CASTLELYONS,583674,593987,1124
47087 - CASTLETOWNROCHE,568861,603918,894
47111 - COOLE,587087,596388,1153
47147 - DURRUS EAST,495841,541718,278
47148 - DURRUS WEST,492612,543145,610
47050 - BEAR,471186,543625,167
47116 - COULAGH,460121,546644,536
47123 - CURRYGLASS,475438,548814,434
47054 - BLARNEY,560542,577396,5607
47064 - CAHERLAG,575381,573922,7481
47072 - CARRIGALINE,574255,563792,12118
47320 - WHITECHURCH,564571,579075,3000
47014 - AULTAGH,526555,558731,357
47122 - CURRAGLASS,596513,592640,382
47151 - FERMOY RURAL,581684,598800,4859
47157 - GLANLOUGH,488214,542500,201
47251 - MEALAGH,507411,552815,373
47075 - CARRIGNAVAR,565002,585670,1225
47076 - CARRIGROHANEBEG,556422,573220,1499
47017 - BALLINGURTEEN,528357,548258,688
47034 - BALLYMONEY,532200,551928,775
47155 - GARROWN,516243,556187,275
47158 - GLANWORTH EAST,579168,604483,424
47159 - GLANWORTH WEST,574481,604480,1113
47166 - GORTNASKEHY,589847,607297,320
47286 - SCART,500168,544438,336
47287 - SEEFIN,483842,539909,298
47188 - KILCATHERINE,467961,553336,804
47200 - KILLACONENAGH,467181,546960,1483
47213 - KILNAMANAGH,455716,541625,342
47106 - COBH RURAL,580797,569085,8353
47132 - DOUGLAS,571814,567777,21041
47047 - BEALANAGEARY,512934,564044,218
47049 - BEALOCK,521937,564513,290
47168 - GORTROE,581548,587344,761
47190 - KILCOR,585954,588747,392
47194 - KILCUMMER,569116,598973,257
47001 - ABBEYMAHON,546607,540560,629
47011 - ARDFIELD,537133,536083,747
47013 - ARGIDEEN,532203,544129,363
47059 - BUTLERSTOWN,549301,538452,411
47135 - DRIPSEY,551107,576255,1495
47142 - DUNDERROW,559048,563288,1656
47074 - CARRIGBOY,527714,563038,494
47088 - CASTLETOWN,533397,558989,469
47195 - KILDINAN,573820,591323,605
47201 - KILLATHY,575134,598795,377
47065 - CAHERMORE,526838,542267,381
47089 - CASTLEVENTRY,529568,542581,290
47095 - CLONAKILTY RURAL,537773,542987,1938
47153 - FIRMOUNT,553287,583431,690
47162 - GLENVILLE,567095,590319,674
47113 - COOLMOUNTAIN,520948,559826,430
47134 - DRINAGH,524656,547464,239
47218 - KILWORTH,583912,604739,1658
47227 - KNOCKMOURNE,592344,595430,1230
47110 - COOLCRAHEEN,532136,539751,675
47117 - COURTMACSHERRY,550999,540912,862
47171 - GREENFORT,557361,582167,789
47178 - INISHKENNY,563257,567128,5650
47145 - DUNMANWAY NORTH,521495,554536,1050
47146 - DUNMANWAY SOUTH,522897,550945,1447
47237 - LEITRIM,586912,601565,356
47278 - RATHCORMACK,579010,592540,2387
47126 - DERRY,526369,537377,551
47199 - KILKERRANMORE,535376,539450,512
47203 - KILLEAGH,568847,584041,659
47224 - KNOCKANTOTA,557030,586399,970
47220 - KINNEIGH,531025,557202,456
47247 - MANCH,527395,553962,583
47318 - WATERGRASSHILL,576638,586099,1470
47009 - ALLOW,539879,615497,469
47207 - KILMALODA EAST,544869,546991,339
47208 - KILMALODA WEST,542522,547639,217
47211 - KILMOYLERANE,537680,548921,309
47274 - RATHBARRY,533530,535156,480
47282 - ROSSCARBERY,528714,536273,992
47229 - KNOCKRAHA,577319,580267,1462
47235 - LEHENAGH,566974,567515,10323
47255 - MILANE,518240,550390,161
47301 - TEERELTON,531832,566138,593
37030 - CLONDAGAD,523711,667695,650
37038 - COOLMEEN,516319,656340,235
37107 - KNOCKNABOLEY,511999,672475,295
37108 - KNOCKNAGORE,493950,662727,216
37122 - MOVEEN,484881,656685,87
37037 - CLOONUSKER,561533,689854,213
37039 - COOLREAGH,557852,683373,188
37018 - CAHERMURPHY,559121,695202,170
37150 - TULLA,549825,680441,1089
48002 - BALLINLOUGH B,569120,570651,1757
48003 - BALLINLOUGH C,569679,570905,1474
48004 - BALLYPHEHANE A,567385,570214,662
48005 - BALLYPHEHANE B,567426,569818,806
48006 - BISHOPSTOWN A,564023,571226,2223
37076 - KILFIDDANE,517057,660582,325
37079 - KILLADYSERT,525414,658271,905
37124 - MOYARTA,486523,653483,223
37126 - MULLAGH,506989,671613,193
48008 - BISHOPSTOWN C,564188,570363,4925
48010 - BISHOPSTOWN D,563465,569340,1492
48009 - BISHOPSTOWN E,565005,569835,3253
48011 - BLACKPOOL A,567675,573418,690
37048 - DERRYNAGITTAGH,556121,689541,137
48013 - BROWNINGSTOWN,569694,570252,1044
48014 - CENTRE A,567688,571864,868
48015 - CENTRE B,567137,572026,2117
48016 - CHURCHFIELD,566115,572856,1577
48017 - CITY HALL A,568059,571452,833
48018 - CITY HALL B,568419,571484,1191
48019 - COMMONS,567086,574489,963
48020 - EVERGREEN,567522,571147,1407
48007 - BISHOPSTOWN B,563092,570149,1934
48022 - FAIR HILL B,566519,573413,746
48023 - FAIR HILL C,566401,574192,3610
48024 - FARRANFERRIS A,567259,573379,2044
48025 - FARRANFERRIS B,566900,573715,928
48026 - FARRANFERRIS C,566949,573226,607
48028 - GILLABBEY A,566780,571534,2418
48029 - GILLABBEY B,566250,571292,1103
48030 - GILLABBEY C,565587,571135,2198
48031 - GLASHEEN A,565339,570603,813
48032 - GLASHEEN B,565882,570818,716
37089 - KILLOFIN,513367,651747,328
48034 - GREENMOUNT,567065,570960,2066
48035 - GURRANEBRAHER A,566166,572459,769
48036 - GURRANEBRAHER B,566256,572296,588
48037 - GURRANEBRAHER C,566855,572436,1053
48027 - GURRANEBRAHER D,566620,572516,944
48038 - GURRANEBRAHER E,566605,572707,1143
48039 - KNOCKNAHEENY,565614,572969,4044
48040 - KNOCKREA A,569430,571284,1476
48041 - KNOCKREA B,569471,571862,1047
48012 - BLACKPOOL B,567771,572927,2185
48043 - MAHON B,571939,570600,4937
48044 - MAHON C,570615,571130,3272
48045 - MARDYKE,566040,571666,840
48046 - MAYFIELD,569726,573636,2932
48047 - MONTENOTTE A,568879,572873,1676
48048 - MONTENOTTE B,569801,573137,2437
48049 - POULADUFF A,566949,570423,723
48050 - POULADUFF B,566895,569706,1675
48021 - FAIR HILL A,566549,572967,714
48057 - St. PATRICK'S B,567990,572558,1162
48058 - St. PATRICK'S C,568420,572798,856
48051 - SHANAKIEL,564867,572154,3638
48052 - SHANDON A,567301,572571,1743
48053 - SHANDON B,567226,572364,1401
48054 - SOUTH GATE A,567674,571503,2163
48055 - SOUTH GATE B,567184,571398,956
48059 - SUNDAY'S WELL A,565868,571991,699
48060 - SUNDAY'S WELL B,566582,572110,892
48061 - THE GLEN A,568537,573500,2466
48033 - GLASHEEN C,566096,570431,2733
48063 - THE LOUGH,566617,570845,1623
48064 - TIVOLI A,569898,572582,1667
48065 - TIVOLI B,571382,572661,2756
48066 - TOGHER A,566101,569652,2064
48067 - TOGHER B,566535,570172,701
48068 - TRAMORE A,568365,570618,793
48069 - TRAMORE B,568935,570225,1039
48070 - TRAMORE C,568789,569793,2966
48071 - TURNER'S CROSS A,567928,570899,817
48072 - TURNER'S CROSS B,567560,570747,1196
48042 - MAHON A,571755,571692,5066
48074 - TURNER'S CROSS D,567892,570047,471
47096 - CLONAKILTY URBAN,538341,541558,4061
47107 - COBH URBAN,579125,566540,6525
47152 - FERMOY URBAN,581121,598719,2289
47222 - KINSALE URBAN,563881,550630,2417
48056 - St. PATRICK'S A,568364,572262,1611
47324 - MALLOW NORTH URBAN,556176,598466,6055
47246 - MALLOW SOUTH URBAN,555072,597876,2738
47254 - MIDLETON URBAN,588109,573566,3881
47294 - SKIBBEREEN URBAN,511982,533639,2706
47323 - YOUGHAL URBAN,609808,577731,7075
48062 - THE GLEN B,568359,574064,3699
47028 - BALLYGROMAN,553698,567458,1673
47033 - BALLYMODAN,547718,553339,4489
48073 - TURNER'S CROSS C,567502,570464,773
47325 - BANDON,549096,555205,1997
47045 - BAURLEIGH,548275,549983,362
47051 - BENGOUR,536748,559444,292
47243 - MACROOM URBAN,533739,573404,3961
47058 - BRINNY,550574,559619,652
47015 - BALLINADEE,555955,550707,531
47177 - INISHANNON,554847,557314,1962
47183 - KILBONANE,549676,565961,1267
47041 - BANTRY RURAL,499940,549672,1091
47160 - GLENGARRIFF,498145,556427,1082
47181 - KEALKILL,508998,556244,582
47035 - BALLYMURPHY,555337,561723,1024
47226 - KNOCKAVILLY,552789,563557,458
47230 - KNOCKROE,553574,553361,702
47187 - KILCASKAN,490371,556732,755
47289 - SHEEPSHEAD,477733,536676,177
47056 - BOULTEEN,539461,551488,664
47078 - CASHEL,543047,552026,421
47185 - KILBRITTAIN,552440,547847,621
47186 - KILBROGAN,545530,556543,2385
47263 - MOVIDDY,544473,566201,1419
47264 - MURRAGH,540214,559879,521
47275 - RATHCLARIN,549486,546009,710
47300 - TEADIES,538153,555884,915
37153 - URLAN,537091,666893,963
37002 - ANNAGH,509201,676305,504
37094 - KILMURRY,511942,658920,286
37112 - LISCASEY,519187,666593,574
37133 - QUERRIN,491204,653774,192
37135 - RAHONA,482012,649919,327
37146 - St. MARTIN'S,493748,655032,101
37054 - DRUMMAAN,576097,689096,605
37061 - FEAKLE,558343,687458,351
37068 - INISHCALTRA NORTH,568500,688198,317
37004 - BALLAGH,517809,689506,190
37007 - BALLYEA,521389,683079,749
37114 - LISHEEN,529690,667898,596
37139 - RINEALON,520766,653966,183
37019 - CAHERMURPHY,509748,667297,201
37151 - TULLIG,481024,653827,110
37152 - TULLYCREEN,508834,659724,149
37080 - KILLALOE,568161,672988,2055
37121 - MOUNTSHANNON,571580,688862,422
37131 - OGONNELLOE,568504,681057,734
37012 - BALLYSTEEN,504062,689985,339
37013 - BALLYVASKIN,507423,681192,399
37031 - CLOONADRUM,502371,671174,471
37033 - CLOONCOORHA,501961,658923,378
37006 - BALLYCANNAN,555084,662984,1166
37009 - BALLYGLASS,558844,661555,5994
37021 - CAPPAVILLA,561534,659887,846
37142 - SCARRIFF,564029,684050,1278
37005 - BALLYBLOOD,548424,676969,153
37028 - CLOGHAUN,511908,700868,202
37032 - CLOONANAHA,515374,680069,267
37040 - COORACLARE,504920,662088,525
37044 - CREEGH,505705,667663,427
37024 - CASTLECRINE,551216,668965,467
37029 - CLOGHERA,559027,666499,581
37011 - BALLYNAHINCH,554433,680798,261
37016 - CAHER,545641,690091,211
37034 - CLOONEY,519291,687057,260
37059 - ENNISTIMON,512811,689084,2331
37049 - DOONBEG,499317,666784,765
37052 - DRUMELLIHY,501555,664108,417
37036 - CLOONTRA,555523,667142,270
37043 - CRATLOE,548653,660207,1514
37035 - CLOONEY,542937,678854,508
37046 - DANGAN,546276,674890,224
37064 - GLENDREE,551004,686443,172
37062 - FORMOYLE,517809,678042,212
37075 - KILFENORA,518002,694283,408
37056 - EINAGH,494590,659815,324
37066 - GLENMORE,514025,666266,335
37070 - KILBALLYOWEN,474922,649472,261
37060 - FAHYMORE,562283,669197,340
37085 - KILLEELY,553207,661184,793
37078 - KILKISHEN,549057,672299,954
37081 - KILLANENA,554000,695077,257
37084 - KILLASPUGLONANE,509742,692503,277
37086 - KILLILAGH,507670,696337,820
37073 - KILFEARAGH,489122,659408,349
37077 - KILKEE,488709,659878,917
37090 - KILLOKENNEDY,560791,674320,143
37100 - KILSEILY,556377,671981,737
37092 - KILLURAN,555794,676708,413
37102 - KILTANNON,548298,684415,196
37101 - KILSHANNY,512421,693492,139
37111 - LISCANNOR,507484,690794,353
37083 - KILLARD,493471,665806,266
37087 - KILLIMER,505528,654287,480
37103 - KILTENANLEA,563354,663628,1911
37110 - LACKAREAGH,565371,672233,134
37120 - MOUNTIEVERS,550132,664780,1281
37109 - KYLE,551811,676197,313
37115 - LOUGHEA,551081,691525,152
37116 - LURRAGA,510712,698296,259
37117 - MAGHERAREAGH,514740,684180,289
37071 - KILCHREEST,527096,662262,441
37093 - KILMIHIL,511731,662732,640
37095 - KILMURRY,502852,674601,714
37130 - O'BRIENSBRIDGE,565597,668068,627
37003 - AYLE,554203,685962,298
37014 - BOHERGLASS,558879,680257,282
37127 - NEWGROVE,545611,683467,279
37134 - QUIN,543075,673930,1476
37118 - MILLTOWN MALBAY,505963,678928,1633
37123 - MOY,510101,684008,692
37098 - KILRUSH RURAL,499506,654395,726
37106 - KNOCK,508667,655823,243
37017 - CAHERHURLY,562149,680608,199
37020 - CAPPAGHABAUN,564671,691625,150
37023 - CARROWBAUN,565294,676793,116
37138 - RATHCLOONEY,542370,683400,133
37140 - ROSSROE,546650,668518,734
37148 - TOBERBREEDA,541907,686009,163
48001 - BALLINLOUGH A,568426,571035,786
37144 - SMITHSTOWN,514665,694531,146
37010 - BALLYNACALLY,529667,664024,238
77046 - CAUSEWAY,482743,631240,647
77051 - CLOONTUBBRID,502576,637258,322
77069 - DROMMARTIN,485999,633023,540
77071 - DUAGH,505535,629172,532
77093 - KILFEIGHNY,494256,625229,950
77031 - BOOLTEENS,480917,605190,482
77034 - BROSNA,510898,620117,695
77160 - TRALEE RURAL,483346,612796,17825
77163 - TUBRID,481425,622387,838
128002 - ABBEY B,559425,657475,2653
127066 - DUNNAMAN,548967,643520,690
127069 - FEDAMORE,559223,645795,1257
127073 - GARRANE,553672,643185,294
77076 - ENNISMORE,494328,632448,569
77085 - GULLANE,489310,644799,248
77086 - GUNSBOROUGH,495766,637326,378
77039 - CARKER,504208,600985,413
127091 - KILFINNY,546294,639633,279
127098 - KILPEACON,555941,645495,527
128003 - ABBEY C,558341,657283,602
127071 - FLEANMORE,516819,647797,217
127080 - GLIN,512313,646790,1162
127081 - GRANGE,561997,641386,538
127096 - KILMOYLAN,515970,640041,403
127008 - ARDPATRICK,563904,623324,380
127011 - ATHLACCA,556396,634867,384
77104 - KILLEHENNY,487759,640741,1871
77107 - KILLURY,479548,632009,502
127124 - RATHMORE,558145,641539,298
127031 - BRUFF,562364,636891,1415
127032 - BRUREE,556042,629256,1199
127089 - KILFERGUS,512901,642752,416
127037 - CAHERCORNEY,567356,641096,733
127021 - BALLYMACSHANEBOY,560581,620492,485
127057 - DARRAGH,572110,619021,308
127062 - DROMIN,559449,632321,555
77109 - KILMEANY,506538,632802,764
77113 - KILSHENANE,499698,621287,227
127033 - BULGADEN,564653,629065,340
127076 - GLENBROHANE,573127,626867,430
127083 - GRISTON,573488,622647,304
127048 - COLMANSWELL,551517,627158,548
127090 - KILFINNANE,568470,623447,1121
127092 - KILFLYN,568665,617449,199
127068 - EMLYGRENNAN,568737,628655,759
127102 - KNOCKAINY,566637,637541,722
77115 - KILTOMY,488247,630767,425
77123 - LEITRIM,507935,641530,545
77125 - LISLAUGHTIN,501509,642982,587
127084 - HOSPITAL,570617,636457,1312
127094 - KILMALLOCK,561198,627645,2394
127103 - KNOCKLONG,572513,631456,874
127119 - PARTICLES,564890,617934,240
127128 - ROCKHILL,552502,631509,321
127003 - ABINGTON,573814,653716,1238
127017 - BALLYBRICKEN,563215,647065,1814
77126 - LISSELTON,495355,642206,369
127100 - KILTEELY,572598,640274,574
127135 - TOBERNEA,557623,624396,643
127136 - UREGARE,565488,633048,631
127018 - BALLYCUMMIN,554178,653869,18388
127026 - BALLYSIMON,562147,653974,13590
77019 - BALLYHAR,493422,596643,183
77033 - BREWSTERFIELD,507835,585801,765
77077 - FLESK,504774,582385,389
77092 - KILCUMMIN,498061,597160,2090
77127 - LISTOWEL RURAL,499339,634114,1584
77129 - LIXNAW,489094,628479,1050
77044 - CASTLEISLAND,499768,609674,3330
77049 - CLOGHERBRIEN,480091,617543,1478
128004 - ABBEY D,558740,657032,1517
128005 - BALLINACURRA A,555789,655742,1962
128006 - BALLINACURRA B,556938,655069,1371
128007 - BALLYNANTY,556492,658948,2891
128008 - CASTLE A,556954,657796,1140
128009 - CASTLE B,557418,657623,458
128010 - CASTLE C,556674,657173,1245
128011 - CASTLE D,555623,657049,2081
128012 - COOLRAINE,555944,657984,1573
128013 - CUSTOM HOUSE,557780,657309,736
128014 - DOCK A,557060,656662,2339
77047 - CHURCHTOWN,484473,587676,478
77052 - CLYDAGH,515098,582553,122
77140 - MOYNSHA,507933,626529,515
77142 - NEWTOWNSANDES,507419,637479,1018
77147 - RATHEA,498900,628440,417
77055 - CORDAL,508312,607808,278
77056 - CRINNY,504607,613354,289
128015 - DOCK B,557396,656471,1077
128016 - DOCK C,557073,656018,976
128017 - DOCK D,556502,656337,773
128018 - FARRANSHONE,556499,657879,963
128019 - GALVONE A,559069,655559,1502
128020 - GALVONE B,559081,655102,664
128021 - GLENTWORTH A,557942,656514,554
128022 - GLENTWORTH B,558006,655785,1198
128023 - GLENTWORTH C,557716,655872,502
128024 - JOHN'S A,557631,658514,759
128025 - JOHN'S B,557861,657882,952
128026 - JOHN'S C,558022,657570,456
128027 - KILLEELY A,557160,658785,1467
77053 - COOLIES,499914,584191,829
77059 - CURRANS,492966,606495,271
77066 - DOOCARRIG,512690,588285,667
77152 - SHRONOWEN,499633,639468,237
77157 - TARBERT,504245,648430,761
77063 - DERREEN,509557,605292,192
77067 - DOON,484757,618333,697
128028 - KILLEELY B,557342,658071,821
128029 - MARKET,558236,656851,2035
128030 - PROSPECT A,557555,656116,826
128031 - PROSPECT B,557284,655660,715
128032 - RATHBANE,558058,655229,1593
128037 - St. LAURENCE,559060,656034,965
128033 - SHANNON A,557365,657051,994
128034 - SHANNON B,557628,656882,925
128035 - SINGLAND A,558938,656620,1664
128036 - SINGLAND B,559694,656520,3873
127105 - LIMERICK NORTH RURAL,554177,658010,6801
77087 - HEADFORT,507445,591513,753
77091 - KILBONANE,485815,596540,593
77158 - TARMON,505234,645139,476
77162 - TRIENEARAGH,502942,627659,488
77083 - GNEEVES,512241,617460,371
77090 - KERRYHEAD,471014,630739,578
77095 - KILFLYN,492191,622393,256
77096 - KILGARRYLANDER,476559,604911,643
127002 - ABBEYVILLE,554940,639556,353
127004 - ADARE NORTH,545037,648585,585
77094 - KILFELIM,494623,607889,247
77099 - KILGOBNET,479417,592968,882
77101 - KILLARNEY RURAL,497753,591572,6952
77103 - KILLEENTIERNA,499193,602960,881
77106 - KILLORGLIN,474700,596524,4355
77164 - URLEE,491115,640325,377
77001 - ABBEYDORNEY,486373,622365,1149
77098 - KILGOBBAN,469008,606939,272
77100 - KILLAHAN,483459,626841,358
77110 - KILMURRY,507841,613969,289
127005 - ADARE SOUTH,547729,646515,2031
127013 - BALLINGARRY,542339,636920,936
77111 - KILNANARE,488195,604320,989
77119 - KNOCKNAHOE,504961,592137,319
77004 - ARABELA,490300,612294,1401
77007 - ARDFERT,478699,621173,973
77114 - KILTALLAGH,484708,605637,565
77117 - KNOCKGLASS,471035,609675,353
127015 - BALLYAGRAN,547520,629031,494
127019 - BALLYGRENNAN,546241,635372,298
77122 - LAHARD,488762,593655,749
77136 - MILLTOWN,481305,600390,2141
77138 - MOLAHIFFE,493296,602644,1570
77141 - MUCKROSS,492542,583549,835
77148 - RATHMORE,513383,592980,1812
77017 - BALLYEGAN,495309,611724,386
77020 - BALLYHEIGE,475978,630212,1490
77118 - KNOCKNAGASHEL,504707,619468,706
127022 - BALLYNABANOGE,552558,636637,327
127024 - BALLYNOE,542259,632310,469
77150 - ROCKFIELD,489990,598966,438
77005 - ARDAGH,483503,635898,669
77008 - ASTEE,494346,647152,480
77023 - BALLYNAHAGLISH,475318,616968,1631
77024 - BALLYNORIG,479571,627179,512
77121 - LACKABAUN,499283,615249,435
77135 - MILLBROOK,511116,602811,458
77139 - MOUNT EAGLE,510786,612030,177
128001 - ABBEY A,558515,658662,4636
127042 - CASTLETOWN,544448,629407,364
127049 - COOLRUS,549264,635009,415
77010 - BALLINCLOHER,486981,626609,457
77014 - BALLYCONRY,491622,637770,418
77015 - BALLYDUFF,487487,635815,842
77018 - BALLYEGAN,491774,635355,115
77025 - BALLYSEEDY,486681,611274,1808
77027 - BANNA,476253,622978,722
77143 - NOHAVAL,494867,615759,354
77144 - O'BRENNAN,492464,618146,498
127051 - CREAN,558446,637802,412
127052 - CRECORA,553213,647434,426
127054 - CROOM,550706,640602,1692
77021 - BALLYHORGAN,493379,629102,424
77029 - BEAL,489424,648629,143
77041 - CARRIG,498567,646936,351
77028 - BAURTREGAUM,476050,610078,375
77030 - BLENNERVILLE,480495,610559,658
77146 - RATASS,487573,617557,1079
77151 - SCARTAGLIN,503141,605666,706
47262 - MOUNTRIVERS,541377,582151,694
47299 - STREAMHILL,560319,614152,94
47305 - TEMPLEMARY,548358,607717,326
47316 - WALLSTOWN,563816,606465,266
47291 - SKAGH,529116,598783,374
47020 - BALLYARTHUR,578401,615914,308
47128 - DERRYVILLANE,573575,608787,492
47290 - SHREELANE,517180,537524,378
47321 - WOODFORT,513444,538598,374
47272 - RAHALISK,532715,580662,574
47108 - COOLAGH,496094,537879,191
47163 - GOLEEN,479078,529094,229
47189 - KILCOE,502201,536380,441
47019 - BALLINTEMPLE,593925,563945,550
47023 - BALLYCOTTIN,597358,565836,1692
47149 - FARAHY,568526,610996,443
47295 - SKULL,491891,531268,1053
47312 - TOORMORE,483283,530530,186
47010 - ARDAGH,601980,583040,667
47021 - BALLYBANE,500596,539905,267
47192 - KILCRONAT,598197,586809,181
47241 - LOWERTOWN,488157,530050,228
47205 - KILMACDONOGH,604669,571587,954
47322 - YOUGHAL RURAL,607856,578204,1264
47039 - BALLYSPILLANE,589495,578213,352
47077 - CARRIGTOHILL,581839,574587,7334
47103 - CLONPRIEST,605089,576300,1073
77161 - TRALEE URBAN,483646,614262,4954
77009 - BAHAGHS,455766,578959,197
77011 - BALLINSKELLIGS,441614,566276,390
47202 - KILLEAGH,600383,577847,1539
77057 - CURRAGHBEG,474051,584581,170
77060 - DARRYNANE,451071,560929,179
77064 - DERRIANA,465951,577236,260
77075 - EMLAGH,449076,570514,871
77078 - GLANBEHY,464227,587668,1080
77102 - KILLARNEY URBAN,496450,590745,10826
77128 - LISTOWEL URBAN,498769,634030,4260
77124 - LICKEEN,468357,584402,102
47086 - CASTLEMARTYR,594511,573040,1041
47102 - CLONMULT,592583,583891,213
77134 - MAUM,476703,588387,258
77145 - PORTMAGEE,438143,571849,413
77013 - BALLYBRACK,457080,565072,83
77159 - TEERANEARAGH,443903,572360,280
77165 - VALENCIA,437790,575502,657
77032 - BRANDON,449322,614925,153
77043 - CASTLEGREGORY,461427,613595,981
77105 - KILLINANE,456975,584775,256
77062 - DEELIS,462844,608650,349
77131 - LOUGHCURRANE,454782,567394,311
77073 - DUNQUIN,429326,598605,182
77074 - DUNURLIN,433567,605145,467
77082 - GLIN,444330,602625,1846
77088 - INCH,464833,602125,141
77112 - KILQUANE,443135,610711,434
