Electoral Division,CENTROID_X,CENTROID_Y,Population
267009 - BALLINTEER-LUDFORD,716664,726859,2028
267010 - BALLINTEER-MARLEY,715409,726456,2253
267011 - BALLINTEER-MEADOWBROADS,716680,727510,1639
267081 - DUNDRUM-SWEETMOUNT,716565,728189,2165
267082 - DUNDRUM-TANEY,717468,728586,2491
267067 - DUN LAOGHAIRE-EAST CENTRAL,724496,728406,2489
267068 - DUN LAOGHAIRE-GLASTHULE,724780,727596,2807
267069 - DUN LAOGHAIRE-GLENAGEARY,724070,727680,1929
267070 - DUN LAOGHAIRE-MONKSTOWN FARM,723016,727534,2225
267071 - DUN LAOGHAIRE-MOUNT TOWN,723336,727861,1779
267072 - DUN LAOGHAIRE SALLYNOGGIN EAST,724450,726660,2860
267073 - DUN LAOGHAIRE SALLYNOGGIN SOUTH,724050,726182,1441
267074 - DUN LAOGHAIRE-SALLYNOGGIN WEST,723625,727117,2886
267076 - DUN LAOGHAIRE-SANDYCOVE,725421,727475,3690
267075 - DUN LAOGHAIRE-SALTHILL,723543,728682,1729
267077 - DUN LAOGHAIRE-WEST CENTRAL,724051,728591,2690
267087 - FOXROCK-BEECHPARK,722377,726297,1680
267088 - FOXROCK-CARRICKMINES,722220,725135,5951
267089 - FOXROCK-DEANSGRANGE,721787,726979,2448
267090 - FOXROCK-TORQUAY,721255,726217,1445
267012 - BALLINTEER-MEADOWMOUNT,716046,727512,1848
267007 - BALLINTEER-WOODPARK,716557,726080,5405
267015 - BALLYBRACK,724587,724771,2962
267019 - BLACKROCK-BOOTERSTOWN,719811,729971,3436
267020 - BLACKROCK-CARYSFORT,721025,727735,6318
267021 - BLACKROCK-CENTRAL,720920,728980,3733
267022 - BLACKROCK-GLENOMENA,719234,730185,2083
267017 - BLACKROCK-MONKSTOWN,722651,728385,3239
267023 - BLACKROCK-NEWPARK,721886,727830,2316
267018 - BLACKROCK-SEAPOINT,722490,728932,1450
267024 - BLACKROCK-STRADBROOK,722448,727711,2462
267025 - BLACKROCK-TEMPLEHILL,721685,728872,2658
267026 - BLACKROCK-WILLIAMSTOWN,720394,729567,2982
267036 - CABINTEELY-GRANITEFIELD,723982,725554,2702
267037 - CABINTEELY-KILBOGGET,724093,724460,2686
267038 - CABINTEELY-LOUGHLINSTOWN,722625,723383,4280
267039 - CABINTEELY-POTTERY,723140,726244,4997
267042 - CHURCHTOWN-CASTLE,715291,728683,1476
267043 - CHURCHTOWN-LANDSCAPE,715579,729093,1411
267044 - CHURCHTOWN-NUTGROVE,715634,728015,3165
267045 - CHURCHTOWN-ORWELL,716055,729428,1943
267046 - CHURCHTOWN-WOODLAWN,716665,728910,1481
267056 - CLONSKEAGH-BELFIELD,718271,729956,3122
267057 - CLONSKEAGH-FARRANBOLEY,716691,729777,1615
267055 - CLONSKEAGH-MILLTOWN,717158,730191,2049
267058 - CLONSKEAGH-ROEBUCK,718172,728943,2699
267059 - CLONSKEAGH-WINDY ARBOUR,717283,729288,2736
267062 - DALKEY-AVONDALE,724866,726146,1357
