0,long,lat,population,type
67180,-8.683115148355824,53.46098611099228,670,6
117050,-8.22255250309192,54.45452789113401,736,11
117058,-8.284196083951928,54.430991916283595,983,11
117075,-8.098870728140504,54.130917693072604,125,11
117004,-7.728805497011458,53.97082073559826,322,11
117011,-7.812507419774875,53.83945996783328,332,11
157015,-9.189883707602187,54.12171664625313,2985,15
157030,-9.185100111070907,54.17386652248794,613,15
157047,-9.21044405183153,54.07235591974031,909,15
67195,-8.736174735770243,53.396108253593326,782,6
157066,-9.305046344909837,54.06761935858294,824,15
157070,-9.407139081911566,54.09344626769967,481,15
157071,-9.492498390851393,54.08126507711597,175,15
117077,-8.361530027011847,54.444604708702784,699,11
157091,-9.332944494161904,54.19248645219199,240,15
157092,-9.450389800996776,54.15479676805693,250,15
117013,-7.886422994925623,53.96950052807757,253,11
157094,-8.99715750802213,54.120259516644694,747,15
157097,-9.262826997962742,54.217325280982436,1256,15
157112,-9.305481917241298,54.293029536465646,305,15
157065,-9.364456386050675,54.12096051494192,1061,15
157135,-9.042584913564827,54.0792117985434,480,15
157141,-9.157369875642734,53.99184737924936,1145,15
157019,-9.440761855358343,53.626784091427275,220,15
157057,-9.277563096248572,53.553908703044165,864,15
157078,-9.281422320066245,54.14287453572152,564,15
157086,-9.205593308115901,53.53075886857758,646,15
157093,-9.460308468373952,54.210366728513215,109,15
157134,-9.165412299728183,53.75358625346107,432,15
157113,-9.249323527495587,54.252539427665475,428,15
157114,-9.429330592639744,54.01851399550578,125,15
157021,-9.251191719274708,53.63145932841815,3770,15
157029,-9.395673407738245,53.69534281529171,206,15
157090,-9.056502172692323,53.61492178645517,663,15
157101,-9.13358605240828,53.59301600115947,960,15
157137,-9.160437416145433,53.50283304268244,1159,15
157008,-10.039064799172227,54.23973418402818,939,15
157007,-10.100492378399691,54.14196390309939,980,15
157120,-9.188335897716971,54.03121167447002,1259,15
157133,-9.264397363405728,54.172853411704466,217,15
157032,-9.630879367107841,54.238598542870726,100,15
157036,-9.961683462373681,54.249673517984945,1954,15
157080,-9.719918810311345,54.2170413045628,215,15
157043,-9.216259003367588,53.71954179591397,423,15
157045,-9.400958100282518,53.65838855503569,372,15
157059,-9.065463738220442,53.67008505379549,272,15
157124,-9.264183288426894,53.58705199607266,786,15
157125,-9.171061706633347,53.69772245015418,521,15
157031,-9.754387632036085,54.127950400548215,467,15
157081,-9.899891681153772,54.17509032116385,493,15
157136,-9.63758069802437,54.12454578865205,91,15
157084,-9.820972171467789,54.14102622795787,135,15
157110,-9.794526394847576,54.31364111876294,337,15
157069,-9.081519518747712,53.552364218827776,1117,15
157085,-9.144570137824505,53.652306768900296,799,15
157128,-9.4658382736215,53.59258811226509,200,15
157131,-9.293714737744846,53.68498400358206,561,15
157111,-9.81233247608074,54.24453484038655,757,15
157121,-9.69035329949098,54.29468327827825,241,15
157122,-9.834643174675127,54.19644897861647,221,15
157132,-9.923825351441467,54.10322517701884,712,15
157002,-9.296651591910383,54.010986773051634,837,15
157014,-9.117388835866791,53.81184654882974,1556,15
67020,-9.04425556466359,53.432636191916,738,6
67031,-8.799227408149003,53.43981139703458,1080,6
67034,-9.005755391660633,53.52226271025608,366,6
67209,-8.68727108515771,53.64165099868096,363,6
67211,-8.84775622087694,53.51327822939425,6060,6
67212,-8.850917085149497,53.51451394806412,3511,6
117008,-8.106522185425929,54.363682435715276,195,11
117012,-8.195622113735785,54.21686434338602,239,11
117014,-7.940398084963003,53.95447888824232,153,11
117016,-7.614188314070147,53.97077698586869,300,11
67035,-8.929351231389035,53.5303042807577,753,6
67049,-8.692456485140251,53.59813444558956,441,6
117009,-7.8236320098338,54.051870744469475,1107,11
117024,-7.7799513076160824,54.09033908816559,345,11
117021,-8.017301692739919,54.27053096492707,178,11
117023,-8.204756194600636,54.25636784886712,285,11
117017,-7.676467519435852,53.976469234391665,563,11
117018,-7.873327800895793,53.864889571759456,170,11
117019,-7.896650396174277,54.03699416280425,260,11
117020,-7.765344624136056,53.88852235250796,237,11
67050,-8.778260236787549,53.55006685008159,438,6
67056,-8.91790309327213,53.481476354252,1059,6
67060,-8.70209151834727,53.55508556389081,363,6
117025,-7.696821450719166,54.00957277377517,246,11
117032,-7.739223518527258,54.03055554755965,158,11
117033,-7.7777418436530485,54.01464694679549,146,11
117027,-8.283519018206682,54.22774194553082,1524,11
117029,-8.143488263617831,54.17126360051966,465,11
117022,-7.762366615485002,53.938847602363815,336,11
117026,-7.7062088395340425,53.928676949858875,142,11
117028,-7.884234911221268,53.890070736416355,206,11
117037,-7.916851563261495,53.92756970846653,303,11
67067,-8.627932145748032,53.544093662990285,461,6
67075,-8.888756513955533,53.448624281252314,1151,6
67085,-9.061668889134403,53.50873896169712,543,6
117039,-7.745538130177009,54.06128287496963,530,11
117049,-7.895271642656859,54.09355887110613,332,11
117055,-7.62632186348091,54.00641792323457,126,11
117040,-8.212369840278486,54.16105292275252,180,11
117041,-8.264699000009914,54.35190193910408,172,11
117030,-7.944413000888562,53.87974370500814,869,11
117038,-7.839510548029673,54.021098315025796,392,11
117046,-7.655372713423174,53.94844601680787,270,11
67086,-8.828458572452513,53.59447524377084,618,6
67092,-8.759347238920785,53.639948411500576,568,6
117068,-7.680197574312981,54.03876098555548,242,11
117069,-7.8403817248056775,54.08847551297367,91,11
117001,-7.943458494586048,54.07970808213884,77,11
117006,-7.974334324987498,53.91921175749144,225,11
117042,-8.191478757304736,54.37499802268383,167,11
117043,-8.107000905103764,54.27549866191377,239,11
117051,-7.770537828435282,53.912417474587656,179,11
117060,-7.776905612565607,53.98842437175973,186,11
117066,-7.861964395779463,53.92693507678449,1258,11
67093,-8.763524409609515,53.60747071513499,837,6
67096,-8.960378162475362,53.586281626163995,629,6
117010,-8.01490310823767,54.08991934120771,147,11
117015,-8.06474984628751,53.943531254155495,4080,11
117031,-7.967297800796288,54.13777402553813,167,11
117044,-8.342768951610262,54.33764321993944,256,11
117045,-7.9926091643375194,54.307013133629546,132,11
117053,-8.299193401957458,54.18542648766488,374,11
117070,-7.8212430021765815,53.88247208584339,370,11
117071,-7.81615080190301,53.96148790504915,240,11
117072,-7.890234344701821,53.84138942839709,616,11
67106,-9.097183365116354,53.471184344810574,1531,6
67107,-8.709256295232734,53.49345635092511,685,6
67114,-8.906236649798785,53.581554475978464,349,6
117035,-8.04723888978102,54.042681412418084,1389,11
117036,-7.99037025461805,53.95797985604883,685,11
117047,-7.943277864555811,53.99919449784916,292,11
117054,-8.104429484897691,54.23007888714488,69,11
117057,-8.059289359847442,54.33466502029467,207,11
117073,-7.87060862428705,53.99709843157535,247,11
157154,-9.14546788284229,54.111516720968666,2420,15
157016,-9.160907939444092,54.11400177077631,4144,15
157049,-9.298112377164957,53.85434998035617,6163,15
157153,-9.5237590594258,53.79848351423883,5847,15
157022,-9.391290009204116,54.27199459837751,615,15
67119,-9.023723960085073,53.47438862459772,649,6
67126,-9.09221092296709,53.43180287379602,613,6
67128,-8.845257471480872,53.56271501080263,707,6
117048,-8.03152423776476,53.97686465533898,325,11
117052,-7.979035164697459,54.016324245345594,489,11
117056,-7.941413121843697,54.0454800126857,153,11
117061,-8.23256387827942,54.299879340961354,415,11
157009,-9.271067216289577,54.11461412923585,359,15
157010,-9.100447413925899,54.13308150319862,966,15
157011,-9.116844778051895,54.097569401403945,3084,15
157034,-9.535221743047495,54.27081386235646,157,15
157040,-9.536961998679093,54.03212223579824,81,15
67130,-8.780641425937326,53.485093938752684,772,6
67138,-8.971991342804008,53.45512084235585,891,6
