,long,lat,population,commuters
1596,52.21328745,-6.43265456,528,314
1597,52.32005006,-6.64977667,1026,500
1598,52.4832071,-6.79426043,443,285
1599,52.17088665,-6.89026491,577,336
1600,52.56880762,-6.44095294,475,278
1601,52.47331018,-6.64880515,984,631
1602,52.54845179,-6.49918263,986,585
1603,52.26443133,-6.81142041,1593,840
1604,52.61518376,-6.55843263,730,436
1605,52.21147981,-6.48965596,582,337
1606,52.52434975,-6.34941352,765,436
1607,52.33150034,-6.47950268,12505,6975
1608,52.33690532,-6.46732938,1613,687
1609,52.37486708,-6.66777997,500,312
1610,52.31977019,-6.94908257,628,419
1611,52.40809194,-6.85597163,581,337
1612,52.75397014,-6.37389705,957,610
1613,52.34242963,-6.46765202,1243,554
1614,52.3335421,-6.46059865,4087,1866
1615,52.77163646,-6.59806923,242,123
1616,53.09013317,-6.17097108,365,230
1617,52.79393322,-6.23291634,1367,777
1618,52.79287617,-6.15942311,9976,5388
1619,52.85950894,-6.32912796,1858,986
1620,52.88093933,-6.27397926,633,387
1621,52.91379983,-6.35171689,346,225
1622,52.95063474,-6.27580454,466,291
1623,52.71543453,-6.57185564,404,233
1624,52.84286076,-6.43014309,210,135
1625,52.92902734,-6.51148546,136,84
1626,52.86229901,-6.18015633,1102,668
1627,52.838713799999994,-6.47283562,184,109
1628,53.00426506,-6.15838771,330,184
1629,52.93822596,-6.70534092,2720,1502
1630,53.15394956,-6.43803031,4606,2977
1631,53.19684306,-6.11356314,6459,3613
1632,53.04259517,-6.35460133,733,424
1633,53.13339763,-6.549552200000001,2065,1353
1634,53.12284993,-6.2603904,333,208
1635,52.7129,-6.50675004,1701,879
1636,52.75270864,-6.50148165,278,160
1637,52.91563601,-6.455478599999999,491,266
1638,52.75310966,-6.4483527,597,340
1639,52.88940641,-6.19672693,469,278
1640,52.79180717,-6.54670086,178,109
1641,53.15580882,-6.0980225,5980,3745
1642,52.98694027,-6.62460286,439,254
1643,53.03077596,-6.60156673,510,296
1644,52.91688798,-6.065307700000001,832,476
1645,52.89067691,-6.10223998,903,547
1646,52.92454158,-6.15966721,458,291
1647,53.04804118,-6.69074357,1359,734
1648,52.95479693,-6.63056531,194,121
1649,52.8627978,-6.11987798,411,250
1650,53.19582015,-6.2214549,2910,1714
1651,53.08102996,-6.31314852,274,155
1652,52.98197944,-6.12982779,2724,1612
1653,53.143541799999994,-6.06711597,7258,4368
1654,52.97030866,-6.75605616,267,165
1655,53.07476553,-6.58692503,766,497
1656,52.92369222,-6.5880731,314,184
1657,52.99470844,-6.53643759,258,153
1658,52.97806048,-6.55336569,253,148
1659,52.84888732,-6.38216035,348,222
1660,53.19740861,-6.42538847,968,621
1661,52.83536776,-6.16064308,889,415
1662,53.115973399999994,-6.09684352,10731,7105
1663,52.80132917,-6.623800800000001,334,195
1664,53.03799433,-6.13136729,1062,642
1665,53.16230501,-6.12664078,14706,9077
1666,52.80764167,-6.38018248,427,280
1667,52.96646281,-6.38531345,246,133
1668,53.04685883,-6.49724893,171,110
1669,52.74515160000001,-6.63501993,141,70
1670,53.00464131,-6.20632527,304,210
1671,53.06149321,-6.0710368,2354,1291
1672,53.07395176,-6.14012457,4009,2479
1673,53.03535664,-6.22816819,615,362
1674,52.85868381,-6.24263531,744,360
1675,53.17630258,-6.25218714,788,518
1676,52.80443873,-6.67545852,277,159
1677,52.90553172,-6.53081705,460,241
1678,52.93572656,-6.22616747,2529,1323
1679,53.023082499999994,-6.70642735,292,156
1680,52.75837863,-6.54684265,589,330
1681,52.99298659,-6.69346694,468,275
1682,52.91761694,-6.6432706999999995,416,266
1683,53.00108023,-6.7462132,435,256
1684,52.80599388,-6.48468839,1507,826
1685,53.05670084,-6.66170249,512,310
1686,53.0845667,-6.50949027,341,196
1687,53.07886473,-6.24048017,1378,822
1688,52.99000616,-6.25735855,335,222
1689,52.96817784,-6.68073133,279,171
1690,52.98416151,-6.04950916,8163,5050
1691,52.97922836,-6.04137878,6762,3738
1692,52.80225921,-6.15223751,3013,1629
1693,53.20669325,-6.11089385,1839,937
1694,53.19845641,-6.09527958,6414,3517
1695,53.20469663,-6.1228632,2415,1208
1696,53.41898224,-6.25010102,5018,2392
1697,53.59169277,-6.18992411,16495,10215
1698,53.60687337,-6.18074564,8116,4540
1699,53.39967494,-6.13695959,7524,4604
1700,53.41936345,-6.19384307,3113,1641
1701,53.24342779999999,-6.41044883,921,530
1702,53.27335243,-6.25318865,5405,3483
1703,53.27845583,-6.26063201,2537,1504
1704,53.27877349,-6.25033151,2028,1050
1705,53.27701315,-6.27019003,2253,1387
1706,53.28520411,-6.2500932,1639,899
1707,53.28503025,-6.25915414,1848,998
1708,53.28456087,-6.30587657,5028,3338
1709,53.52436524,-6.27815295,1162,726
1710,53.25808363,-6.13313636,2962,1624
1711,53.60479462,-6.24059153,707,438
1712,53.29117036,-6.1611852,3239,1956
1713,53.29649068,-6.16221957,1450,895
1714,53.306128599999994,-6.20183738,3436,2272
1715,53.28596625,-6.18447326,6318,4020
1716,53.29719208,-6.18753314,3733,2513
1717,53.30795125,-6.21227067,2083,1363
1718,53.28698982,-6.1721412,2316,1339
1719,53.285165,-6.16321521,2462,1455
1720,53.29562553,-6.17318026,2658,1666
1721,53.30167557,-6.19281853,2982,1713
1722,53.39089432,-6.35069724,6195,3487
1723,53.39487317,-6.43020874,38894,25205
1724,53.39265937,-6.39508125,11320,6312
1725,53.39998579,-6.37482132,3871,1930
1726,53.38199539,-6.39264684,5153,2922
1727,53.40598034,-6.38313535,4123,2497
1728,53.38468157,-6.37745847,1688,828
1729,53.41299213,-6.4124113,3257,1665
1730,53.22709564,-6.33370545,4496,2600
1731,53.26545024,-6.14107836,2702,1565
1732,53.255931000000004,-6.13996673,2686,1497
1733,53.24761629,-6.16271267,4280,2962
1734,53.27131661,-6.15349023,4997,2951
1735,53.36784574,-6.37949443,19027,12811
