S,I,X,R,D
1.65026e+06,0.0021538,0.0900742,4.78839e+06,134075
1.65026e+06,0.00191712,0.0810299,4.78839e+06,134075
1.65026e+06,0.00170644,0.0728918,4.78839e+06,134075
1.65026e+06,0.00151891,0.0655691,4.78839e+06,134075
1.65026e+06,0.00135199,0.0589805,4.78839e+06,134075
1.65026e+06,0.00120342,0.0530525,4.78839e+06,134075
1.65026e+06,0.00107117,0.0477191,4.78839e+06,134075
1.65026e+06,0.000953457,0.0429207,4.78839e+06,134075
1.65026e+06,0.000848679,0.0386038,4.78839e+06,134075
1.65026e+06,0.000755415,0.0347202,4.78839e+06,134075
1.65026e+06,0.0006724,0.0312265,4.78839e+06,134075
1.65026e+06,0.000598508,0.0280836,4.78839e+06,134075
1.65026e+06,0.000532736,0.0252565,4.78839e+06,134075
1.65026e+06,0.000474192,0.0227134,4.78839e+06,134075
1.65026e+06,0.000422082,0.0204259,4.78839e+06,134075
1.65026e+06,0.000375698,0.0183683,4.78839e+06,134075
1.65026e+06,0.000334412,0.0165176,4.78839e+06,134075
1.65026e+06,0.000297662,0.014853,4.78839e+06,134075
1.65026e+06,0.000264951,0.0133559,4.78839e+06,134075
1.65026e+06,0.000235835,0.0120094,4.78839e+06,134075
1.65026e+06,0.000209919,0.0107984,4.78839e+06,134075
1.65026e+06,0.00018685,0.00970935,4.78839e+06,134075
1.65026e+06,0.000166317,0.00872991,4.78839e+06,134075
1.65026e+06,0.00014804,0.00784911,4.78839e+06,134075
1.65026e+06,0.000131771,0.00705703,4.78839e+06,134075
1.65026e+06,0.000117291,0.00634474,4.78839e+06,134075
1.65026e+06,0.000104401,0.00570423,4.78839e+06,134075
1.65026e+06,9.29283e-05,0.00512828,4.78839e+06,134075
1.65026e+06,8.27162e-05,0.00461038,4.78839e+06,134075
1.65026e+06,7.36264e-05,0.00414471,4.78839e+06,134075
1.65026e+06,6.55354e-05,0.00372599,4.78839e+06,134075
1.65026e+06,5.83336e-05,0.00334951,4.78839e+06,134075
1.65026e+06,5.19232e-05,0.00301102,4.78839e+06,134075
1.65026e+06,4.62172e-05,0.00270668,4.78839e+06,134075
1.65026e+06,4.11383e-05,0.00243305,4.78839e+06,134075
1.65026e+06,3.66175e-05,0.00218705,4.78839e+06,134075
1.65026e+06,3.25935e-05,0.00196588,4.78839e+06,134075
1.65026e+06,2.90118e-05,0.00176705,4.78839e+06,134075
1.65026e+06,2.58236e-05,0.0015883,4.78839e+06,134075
1.65026e+06,2.29858e-05,0.0014276,4.78839e+06,134075
1.65026e+06,2.04598e-05,0.00128314,4.78839e+06,134075
1.65026e+06,1.82115e-05,0.00115328,4.78839e+06,134075
1.65026e+06,1.62102e-05,0.00103655,4.78839e+06,134075
1.65026e+06,1.44288e-05,0.00093161,4.78839e+06,134075
1.65026e+06,1.28432e-05,0.000837284,4.78839e+06,134075
1.65026e+06,1.14318e-05,0.000752495,4.78839e+06,134075
1.65026e+06,1.01756e-05,0.000676282,4.78839e+06,134075
1.65026e+06,9.05737e-06,0.000607778,4.78839e+06,134075
1.65026e+06,8.06204e-06,0.000546204,4.78839e+06,134075
1.65026e+06,7.17609e-06,0.00049086,4.78839e+06,134075
1.65026e+06,6.38749e-06,0.000441117,4.78839e+06,134075
1.65026e+06,5.68556e-06,0.000396409,4.78839e+06,134075
1.65026e+06,5.06077e-06,0.000356227,4.78839e+06,134075
1.65026e+06,4.50463e-06,0.000320113,4.78839e+06,134075
1.65026e+06,4.00961e-06,0.000287656,4.78839e+06,134075
1.65026e+06,3.56899e-06,0.000258486,4.78839e+06,134075
1.65026e+06,3.17679e-06,0.00023227,4.78839e+06,134075
1.65026e+06,2.82769e-06,0.000208711,4.78839e+06,134075
1.65026e+06,2.51695e-06,0.000187538,4.78839e+06,134075
1.65026e+06,2.24036e-06,0.000168511,4.78839e+06,134075
1.65026e+06,1.99416e-06,0.000151412,4.78839e+06,134075
1.65026e+06,1.77502e-06,0.000136046,4.78839e+06,134075
1.65026e+06,1.57996e-06,0.000122238,4.78839e+06,134075
1.65026e+06,1.40634e-06,0.00010983,4.78839e+06,134075
1.65026e+06,1.25179e-06,9.86801e-05,4.78839e+06,134075
1.65026e+06,1.11423e-06,8.8661e-05,4.78839e+06,134075
1.65026e+06,9.91787e-07,7.96581e-05,4.78839e+06,134075
1.65026e+06,8.82799e-07,7.15684e-05,4.78839e+06,134075
1.65026e+06,7.85787e-07,6.42994e-05,4.78839e+06,134075
1.65026e+06,6.99436e-07,5.7768e-05,4.78839e+06,134075
1.65026e+06,6.22574e-07,5.18994e-05,4.78839e+06,134075
1.65026e+06,5.54159e-07,4.66264e-05,4.78839e+06,134075
1.65026e+06,4.93262e-07,4.18886e-05,4.78839e+06,134075
1.65026e+06,4.39057e-07,3.76318e-05,4.78839e+06,134075
1.65026e+06,3.90808e-07,3.38072e-05,4.78839e+06,134075
1.65026e+06,3.47862e-07,3.03709e-05,4.78839e+06,134075
1.65026e+06,3.09635e-07,2.72835e-05,4.78839e+06,134075
1.65026e+06,2.75609e-07,2.45097e-05,4.78839e+06,134075
1.65026e+06,2.45322e-07,2.20177e-05,4.78839e+06,134075
1.65026e+06,2.18364e-07,1.97788e-05,4.78839e+06,134075
1.65026e+06,1.94367e-07,1.77674e-05,4.78839e+06,134075
1.65026e+06,1.73008e-07,1.59603e-05,4.78839e+06,134075
1.65026e+06,1.53996e-07,1.43369e-05,4.78839e+06,134075
1.65026e+06,1.37074e-07,1.28785e-05,4.78839e+06,134075
1.65026e+06,1.2201e-07,1.15683e-05,4.78839e+06,134075
1.65026e+06,1.08603e-07,1.03913e-05,4.78839e+06,134075
1.65026e+06,9.66682e-08,9.3339e-06,4.78839e+06,134075
1.65026e+06,8.60453e-08,8.38404e-06,4.78839e+06,134075
1.65026e+06,7.65897e-08,7.53077e-06,4.78839e+06,134075
1.65026e+06,6.81732e-08,6.76427e-06,4.78839e+06,134075
1.65026e+06,6.06816e-08,6.07572e-06,4.78839e+06,134075
1.65026e+06,5.40133e-08,5.4572e-06,4.78839e+06,134075
1.65026e+06,4.80777e-08,4.9016e-06,4.78839e+06,134075
1.65026e+06,4.27945e-08,4.40252e-06,4.78839e+06,134075
1.65026e+06,3.80918e-08,3.95422e-06,4.78839e+06,134075
1.65026e+06,3.39058e-08,3.55154e-06,4.78839e+06,134075
1.65026e+06,3.01799e-08,3.18983e-06,4.78839e+06,134075
1.65026e+06,2.68634e-08,2.86494e-06,4.78839e+06,134075
1.65026e+06,2.39114e-08,2.57311e-06,4.78839e+06,134075
1.65026e+06,2.12838e-08,2.31098e-06,4.78839e+06,134075
1.65026e+06,1.89449e-08,2.07554e-06,4.78839e+06,134075
1.65026e+06,1.6863e-08,1.86407e-06,4.78839e+06,134075
1.65026e+06,1.50099e-08,1.67413e-06,4.78839e+06,134075
1.65026e+06,1.33605e-08,1.50353e-06,4.78839e+06,134075
1.65026e+06,1.18923e-08,1.3503e-06,4.78839e+06,134075
1.65026e+06,1.05855e-08,1.21268e-06,4.78839e+06,134075
