x,y,S,I,R,D,X,N
-6.36561,53.3146,2046.74,0.108427,0.0438673,0.102502,0.00287005,2047
-6.41567,53.3341,2580.62,0.143919,0.063698,0.170269,0.00476754,2581
-6.42999,53.3248,11321.3,0.636615,0.278737,0.719338,0.0201415,11323
-6.37369,53.3236,11314.5,0.615411,0.250466,0.59015,0.0165242,11316
-6.39106,53.3377,6375.03,0.367762,0.163354,0.427944,0.0119824,6376
-6.40303,53.3422,4095.36,0.237374,0.106415,0.28349,0.00793771,4096
-6.42172,53.3132,9150.76,0.501828,0.212408,0.514451,0.0144046,9152
-6.29281,53.2717,5756.34,0.295474,0.112986,0.241888,0.00677288,5757
-6.31904,53.2742,8229.06,0.423499,0.161979,0.347075,0.00971809,8230
-6.31925,53.2875,3504.59,0.182996,0.0701849,0.151161,0.00423252,3505
-6.33921,53.2775,12212.6,0.636574,0.244792,0.526005,0.0147281,12214
-6.42862,53.3449,32226.8,2.0247,1.22298,5.77683,0.161751,32236
-6.43233,53.3587,5195.22,0.292087,0.129881,0.345547,0.00967532,5196
-6.47415,53.3451,10656.6,0.579181,0.243746,0.590345,0.0165297,10658
-6.49003,53.3004,4256.47,0.223378,0.0910582,0.21206,0.00593768,4257
-6.37001,53.3493,3624.51,0.199187,0.0835341,0.202494,0.00566984,3625
-6.38522,53.3555,7520.01,0.408674,0.169503,0.40387,0.0113084,7521
-6.4902,53.2597,5008.42,0.255051,0.0999229,0.219768,0.00615349,5009
-6.30382,53.2929,2611.69,0.136864,0.0525227,0.113018,0.00316452,2612
-6.29299,53.2936,3287.62,0.171332,0.0655852,0.140633,0.00393773,3288
-6.27752,53.2876,4601.47,0.239509,0.0911134,0.194464,0.00544499,4602
-6.28708,53.2874,3876.55,0.201955,0.0770644,0.164311,0.0046007,3877
-6.28069,53.301,3098.64,0.161557,0.0619702,0.133469,0.00373714,3099
-6.34625,53.2853,1537.82,0.0806116,0.0312176,0.0678803,0.00190065,1538
-6.44943,53.2613,4639.46,0.238397,0.0932314,0.205414,0.00575158,4640
-6.39229,53.3034,1691.78,0.0901176,0.0365822,0.0860485,0.00240936,1692
-6.41109,53.2927,8378.95,0.445625,0.18011,0.41446,0.0116049,8380
-6.34598,53.2883,1933.77,0.102046,0.039584,0.0867245,0.00242829,1934
-6.41039,53.2806,17821.9,0.934627,0.368949,0.819703,0.0229517,17824
-6.38709,53.2769,3957.53,0.208715,0.0810453,0.17699,0.00495573,3958
-6.30625,53.4696,2262.76,0.110193,0.0414539,0.0875077,0.00245022,2263
-6.19185,53.4353,9619.96,0.478655,0.179336,0.375866,0.0105243,9621
-6.44381,53.3727,1435.8,0.0782483,0.0331751,0.0820336,0.00229694,1436
-6.19348,53.5281,9622.03,0.448787,0.165363,0.341554,0.00956352,9623
-6.14362,53.4434,7428.19,0.370882,0.138533,0.289828,0.00811518,7429
-6.16942,53.4484,6148.34,0.304993,0.113773,0.238125,0.00666749,6149
-6.12988,53.4341,4108.55,0.205817,0.0772582,0.162625,0.00455349,4109
-6.13584,53.419,3620.6,0.182855,0.0688987,0.145405,0.00407133,3621
-6.10213,53.5261,9920,0.463809,0.170777,0.353,0.009884,9921
-6.27919,53.5246,1161.88,0.0543947,0.020222,0.0422079,0.00118182,1162
-6.23993,53.6047,706.936,0.0301166,0.0109895,0.0224817,0.000629487,707
-6.34902,53.3898,6194.26,0.323608,0.126592,0.280341,0.00784954,6195
-6.42738,53.3945,38889.1,2.07528,0.848389,1.96359,0.0549807,38894
-6.39664,53.3909,11318.6,0.602832,0.244246,0.563477,0.0157773,11320
-6.37483,53.3998,3870.53,0.204871,0.0811058,0.181009,0.00506826,3871
-6.39199,53.3812,5152.32,0.277583,0.11538,0.278448,0.00779656,5153
-6.38372,53.4059,4122.5,0.217635,0.0861216,0.191228,0.00535439,4123
-6.37763,53.3844,1687.79,0.0894665,0.036224,0.0842831,0.00235993,1688
-6.41079,53.4127,3256.61,0.170677,0.0676862,0.152007,0.00425619,3257
-6.38046,53.3693,19024.6,1.02946,0.415911,0.960961,0.0269069,19027
-6.35047,53.3764,5328.35,0.279852,0.111023,0.250068,0.00700191,5329
-6.334,53.5153,836.914,0.0392793,0.0147727,0.0312014,0.000873639,837
-6.13963,53.4838,9398.01,0.456272,0.170214,0.356953,0.00999468,9399
-6.29883,53.4257,7371.18,0.369464,0.140817,0.300938,0.00842627,7372
-6.37975,53.5543,1627.84,0.0727763,0.0270995,0.0567456,0.00158888,1628
-6.28186,53.5684,1396.87,0.0619449,0.0228577,0.0473992,0.00132718,1397
-6.14069,53.5556,3457.66,0.157735,0.0578264,0.118495,0.00331787,3458
-6.07594,53.3793,8293.07,0.420686,0.159191,0.337158,0.00944043,8294
-6.20036,53.4558,7002.25,0.345496,0.129051,0.26963,0.00754963,7003
-6.21871,53.4578,2673.71,0.131237,0.0491744,0.103093,0.00288661,2674
-6.36126,53.4236,9600.9,0.489196,0.189127,0.408987,0.0114516,9602
-6.23537,53.4051,1699.81,0.0866995,0.0329115,0.0699789,0.00195941,1700
-6.25982,53.2784,2536.71,0.131603,0.0501244,0.10706,0.00299768,2537
-6.25061,53.2792,2027.77,0.104931,0.0400484,0.0855906,0.00239654,2028
-6.26957,53.2759,2252.74,0.116763,0.0445507,0.0954413,0.00267236,2253
-6.25013,53.285,1638.81,0.0849354,0.0324793,0.0696369,0.00194983,1639
-6.25161,53.2912,2164.75,0.112675,0.0430565,0.0924612,0.00258891,2165
-6.23792,53.2945,2490.71,0.12933,0.0494772,0.105968,0.0029671,2491
-6.13263,53.2913,2488.71,0.129179,0.0491519,0.104795,0.00293427,2489
-6.12869,53.284,2806.68,0.145402,0.0551688,0.117295,0.00328426,2807
-6.1393,53.2849,1928.78,0.100155,0.0381177,0.0813045,0.00227652,1929
-6.15515,53.2838,2224.74,0.115488,0.0439457,0.0940345,0.00263296,2225
-6.15023,53.2867,1778.8,0.0924133,0.035199,0.0752408,0.00210674,1779
-6.134,53.2756,2859.67,0.148009,0.0562072,0.119377,0.00334257,2860
-6.14018,53.2714,1440.84,0.0742532,0.0281865,0.0597998,0.00167439,1441
-6.14619,53.2799,2885.67,0.149897,0.0566513,0.120075,0.00336211,2886
-6.11913,53.2827,3689.58,0.191023,0.0726588,0.154794,0.00433422,3690
-6.14681,53.294,1728.8,0.0897555,0.0342477,0.0734829,0.00205752,1729
-6.13923,53.2931,2689.69,0.139737,0.0531919,0.113486,0.00317761,2690
-6.16521,53.2729,1679.81,0.086737,0.0329799,0.0704017,0.00197125,1680
-6.168,53.2625,5950.33,0.30468,0.115492,0.245316,0.00686884,5951
-6.17379,53.2791,2447.72,0.127002,0.0482518,0.102795,0.00287826,2448
-6.18205,53.2724,1444.83,0.0747761,0.0284624,0.0608627,0.00170416,1445
-6.25963,53.2852,1847.79,0.0960291,0.0366291,0.0786153,0.00220123,1848
-6.2525,53.2722,5404.38,0.280244,0.106327,0.225952,0.00632664,5405
-6.13269,53.2586,2961.67,0.15227,0.0574543,0.121202,0.00339366,2962
-6.20227,53.3065,3435.6,0.178723,0.0680536,0.145487,0.00407364,3436
-6.18492,53.2861,6317.27,0.327356,0.124606,0.26574,0.00744072,6318
-6.18602,53.2973,3732.57,0.194156,0.0739803,0.158397,0.00443512,3733
-6.21084,53.3085,2082.76,0.108402,0.0412906,0.0882634,0.00247138,2083
-6.16029,53.2916,3238.63,0.168319,0.0640954,0.136654,0.00382632,3239
-6.17198,53.2868,2315.73,0.120332,0.0456904,0.0974836,0.00272954,2316
-6.1625,53.2965,1449.83,0.075221,0.0288266,0.061814,0.00173079,1450
-6.1636,53.2856,2461.72,0.127778,0.048666,0.103776,0.00290573,2462
