From LGD,From LGD Code,To LGD,To LGD Code,No of Commuters
95FF - BANBRIDGE,95FF,95UU - MOYLE,95UU,1
95FF - BANBRIDGE,95FF,95VV - NEWRY & MOURNE,95VV,1548
95FF - BANBRIDGE,95FF,95WW - NEWTOWNABBEY,95WW,215
95FF - BANBRIDGE,95FF,95XX - NORTH DOWN,95XX,87
95FF - BANBRIDGE,95FF,95YY - OMAGH,95YY,14
95FF - BANBRIDGE,95FF,95ZZ - STRABANE,95ZZ,2
95FF - BANBRIDGE,95FF,Mainly work at or from home,95FF,2554
95FF - BANBRIDGE,95FF,Offshore installation,95FF,23
95FF - BANBRIDGE,95FF,No fixed place,95FF,3394
95FF - BANBRIDGE,95FF,Outside UK,95FF,153
95GG - BELFAST,95GG,95AA - ANTRIM,95AA,1414
95GG - BELFAST,95GG,95BB - ARDS,95BB,801
95GG - BELFAST,95GG,95CC - ARMAGH,95CC,128
95GG - BELFAST,95GG,95DD - BALLYMENA,95DD,386
95GG - BELFAST,95GG,95EE - BALLYMONEY,95EE,29
95GG - BELFAST,95GG,95FF - BANBRIDGE,95FF,126
95GG - BELFAST,95GG,95GG - BELFAST,95GG,75031
95GG - BELFAST,95GG,95HH - CARRICKFERGUS,95HH,493
95GG - BELFAST,95GG,95II - CASTLEREAGH,95II,5580
95GG - BELFAST,95GG,95JJ - COLERAINE,95JJ,147
95GG - BELFAST,95GG,95KK - COOKSTOWN,95KK,74
95GG - BELFAST,95GG,95LL - CRAIGAVON,95LL,749
95GG - BELFAST,95GG,95MM - DERRY,95MM,150
95GG - BELFAST,95GG,95NN - DOWN,95NN,448
95GG - BELFAST,95GG,95OO - DUNGANNON,95OO,133
95GG - BELFAST,95GG,95PP - FERMANAGH,95PP,82
95GG - BELFAST,95GG,95QQ - LARNE,95QQ,317
95GG - BELFAST,95GG,95RR - LIMAVADY,95RR,19
95GG - BELFAST,95GG,95SS - LISBURN,95SS,3710
95GG - BELFAST,95GG,95TT - MAGHERAFELT,95TT,88
