Electoral Division,COUNTY,ED Latitude,ED Longitude,ED Area,Population,No. of Commuters
197022 - BOYLE URBAN,ROSCOMMON,53.97122007,-8.30496918,3.042512,1501,613
197023 - BREEDOGE,ROSCOMMON,53.91003015,-8.37990741,19.029603,241,121
197024 - BUCKILL,ROSCOMMON,53.88007878,-8.50937767,22.676648,334,187
197025 - BUMLIN,ROSCOMMON,53.7608116,-8.0262343,24.232771,472,274
197026 - CALTRAGH,ROSCOMMON,53.50219438,-8.13019479,14.486269,260,164
197027 - CAMS,ROSCOMMON,53.66650655,-8.26022046,24.375178,471,297
197028 - CARNAGH,ROSCOMMON,53.51915339,-8.04637771,31.598856,809,560
197029 - CARROWDUFF,ROSCOMMON,53.72422052,-8.29115758,18.434859,232,132
197030 - CARROWREAGH,ROSCOMMON,53.39524291,-8.19004275,28.437248,525,322
197031 - CASTLEPLUNKET,ROSCOMMON,53.76935279,-8.34734826,37.368313,519,280
197032 - CASTLEREAGH,ROSCOMMON,53.76750025,-8.46861481,40.063025,2971,1304
197033 - CASTLESAMPSON,ROSCOMMON,53.41410648,-8.09878459,28.555821,413,239
197034 - CASTLETEHEEN,ROSCOMMON,53.72992068,-8.36103874,20.386163,335,178
197035 - CLOONBURREN,ROSCOMMON,53.29570499,-8.07208798,18.033254,231,142
197036 - CLOONFINLOUGH,ROSCOMMON,53.7402259,-8.13801255,17.968616,174,83
197037 - CLOONFOWER,ROSCOMMON,53.79084318,-8.59640204,34.544804,321,174
197038 - CLOONOWN,ROSCOMMON,53.37209362,-7.9432703,11.255128,268,168
197039 - CLOONTEEN,ROSCOMMON,53.91006617,-8.03141806,18.119044,274,175
197040 - CLOONTUSKERT,ROSCOMMON,53.67255669,-8.03238353,30.197175,1273,692
197041 - CLOONYGORMICAN,ROSCOMMON,53.6892207,-8.30998556,27.578909,455,243
197042 - CLOONYQUIN,ROSCOMMON,53.80801755,-8.24124314,21.158488,264,145
197043 - COOLOUGHER,ROSCOMMON,53.74720066,-8.53730557,38.167754,503,290
197044 - CRANNAGH,ROSCOMMON,53.37553187,-7.9771139,25.639353,1171,764
197045 - CREAGH,ROSCOMMON,53.33410914,-8.17471545,28.166605,998,615
197046 - CREEVE,ROSCOMMON,53.87867881,-8.20451204,14.194335,120,73
197047 - CREEVE,ROSCOMMON,53.84440515,-8.10519235,13.898109,162,89
197048 - CREGGA,ROSCOMMON,53.8150532,-8.13663361,14.617673,155,82
197049 - CROGHAN,ROSCOMMON,53.92849716,-8.23250501,23.955994,379,229
197050 - CROSSNA,ROSCOMMON,54.03251177,-8.20020994,18.047494,187,106
197051 - CULLIAGH,ROSCOMMON,53.30354256,-8.14696204,15.885023,208,120
197052 - DANESFORT,ROSCOMMON,53.92483195,-8.11707604,13.320657,827,486
197053 - DRUMDAFF,ROSCOMMON,53.67054183,-8.10289548,20.813653,445,250
197054 - DRUMLOSH,ROSCOMMON,53.35885682,-8.01306393,12.653645,336,222
197055 - DUNAMON,ROSCOMMON,53.65322616,-8.34564607,20.926625,332,213
197056 - DYSART,ROSCOMMON,53.43971088,-8.20829034,23.839786,243,139
197057 - EDMONDSTOWN,ROSCOMMON,53.93837734,-8.58362973,33.39703,418,208
197058 - ELIA,ROSCOMMON,53.84559138,-8.05034757,11.421281,135,66
197059 - ELPHIN,ROSCOMMON,53.84335027,-8.18748975,15.182091,764,400
197060 - ESTERSNOW,ROSCOMMON,53.90594315,-8.33107475,12.023041,87,44
197061 - FAIRYMOUNT,ROSCOMMON,53.82495938,-8.47547755,33.502687,313,187
197062 - FRENCHPARK,ROSCOMMON,53.89114702,-8.43592226,33.349271,897,438
197063 - FUERTY,ROSCOMMON,53.61352496,-8.27672816,31.56827,700,446
197064 - KEADEW,ROSCOMMON,54.06345837,-8.15841974,23.391444,535,201
197065 - KILBRIDE NORTH,ROSCOMMON,53.72239237,-8.20061465,20.420896,407,241
197066 - KILBRIDE SOUTH,ROSCOMMON,53.68628401,-8.19234908,27.317338,388,243
197067 - KILBRYAN,ROSCOMMON,54.02514652,-8.26190923,26.4381,325,181
197068 - KILCAR,ROSCOMMON,53.4699056,-8.13767541,15.693032,362,233
197069 - KILCOLAGH,ROSCOMMON,53.8847166,-8.3362533,11.337193,148,71
197070 - KILGEFIN,ROSCOMMON,53.70376881,-8.08504638,21.298938,318,186
197071 - KILGLASS NORTH,ROSCOMMON,53.84057101,-7.98128186,27.122625,435,216
197072 - KILGLASS SOUTH,ROSCOMMON,53.7965559,-7.99744078,24.765433,313,181
197073 - KILLAVACKAN,ROSCOMMON,53.72570898,-8.07014676,13.785189,208,124
197074 - KILLUKIN,ROSCOMMON,53.94353946,-8.14260159,11.931026,274,197
197075 - KILLUKIN,ROSCOMMON,53.74871524,-8.2106486,16.692331,193,109
197076 - KILLUMMOD,ROSCOMMON,53.90689869,-8.17735359,12.181542,120,64
197077 - KILMACUMSY,ROSCOMMON,53.88692503,-8.27399565,18.875619,310,183
197078 - KILMORE,ROSCOMMON,53.87274929,-8.0308007,19.139709,178,104
197079 - KILTEEVAN,ROSCOMMON,53.62062074,-8.07823377,36.147821,529,346
197080 - KILTOOM,ROSCOMMON,53.47190095,-8.0095147,32.219252,1630,972
197081 - KILTULLAGH,ROSCOMMON,53.69103637,-8.7326313,44.729838,1061,550
197082 - LACKAN,ROSCOMMON,53.52590992,-8.17451696,23.381981,368,234
197083 - LECARROW,ROSCOMMON,53.55037522,-8.02863912,25.573722,334,219
197085 - LISMAHA,ROSCOMMON,53.52743397,-8.2492264,25.009069,356,218
197086 - LISSONUFFY,ROSCOMMON,53.73012005,-8.00143679,28.393851,169,105
197087 - LOUGH ALLEN / ALTAGOWLAN,ROSCOMMON,54.09859496,-8.11780325,20.531937,276,143
197088 - LOUGHGLINN,ROSCOMMON,53.84447815,-8.55842691,33.61261,689,345
197089 - LISGARVE / MANTUA,ROSCOMMON,53.85659063,-8.2851072,32.223605,226,137
197090 - MOORE,ROSCOMMON,53.33832652,-8.03855209,20.268172,308,179
197091 - MOTE,ROSCOMMON,53.59871682,-8.11844914,32.908652,944,607
197092 - OAKPORT,ROSCOMMON,53.9769967,-8.17098058,15.637858,413,261
197093 - OGULLA,ROSCOMMON,53.77395349,-8.28469338,19.674187,340,190
197094 - ROCKHILL,ROSCOMMON,53.48703505,-8.07257545,19.848654,410,253
197095 - ROCKINGHAM,ROSCOMMON,53.97602955,-8.21576278,31.046209,337,169
197096 - ROOSKY,ROSCOMMON,53.80678385,-7.91585811,21.30452,708,384
197097 - ROSCOMMON RURAL,ROSCOMMON,53.63071431,-8.18310631,44.88522,4929,2819
197098 - ROSCOMMON URBAN,ROSCOMMON,53.62871379,-8.19413628,1.509659,1723,838
197099 - ROSMOYLAN,ROSCOMMON,53.62097103,-8.35574638,18.941811,164,82
197100 - ROSSMORE,ROSCOMMON,53.82868691,-8.23160806,18.101814,168,88
197101 - RUSHFIELD,ROSCOMMON,53.94361406,-8.28208768,20.36796,376,251
197102 - SCREGG,ROSCOMMON,53.55537565,-8.09847856,18.487117,512,327
197103 - STROKESTOWN,ROSCOMMON,53.77440536,-8.09046051,18.087703,1036,455
197104 - TAGHBOY,ROSCOMMON,53.48725681,-8.24558687,18.108424,513,259
197105 - TAGHMACONNELL,ROSCOMMON,53.41108133,-8.15216206,19.12795,271,155
197106 - TERMONBARRY,ROSCOMMON,53.7555981,-7.93100547,16.374957,778,471
197107 - THOMASTOWN,ROSCOMMON,53.3880261,-8.05498364,24.104137,736,484
197108 - TIVANNAGH,ROSCOMMON,53.97626795,-8.37377156,21.410654,259,150
197109 - TULSK,ROSCOMMON,53.77549553,-8.21809469,18.921106,314,159
197110 - TUMNA NORTH,ROSCOMMON,54.00942193,-8.09869662,13.874656,166,86
197111 - TUMNA SOUTH,ROSCOMMON,53.98562197,-8.13256851,17.017245,191,98
197112 - TURROCK,ROSCOMMON,53.47234106,-8.21589018,21.242512,334,221
207001 - ACHONRY EAST,SLIGO,54.00887289,-8.73022182,25.301192,485,279
207002 - ACHONRY WEST,SLIGO,53.99283264,-8.81810769,31.561293,752,428
207003 - ACLARE,SLIGO,54.03508665,-8.94151756,24.683298,257,142
207004 - AGHANAGH,SLIGO,54.03851687,-8.34436077,29.356754,368,217
207005 - ANNAGH,SLIGO,54.15335074,-8.57278094,13.57652,196,114
207006 - AUGHRIS,SLIGO,54.2585901,-8.75974705,9.420159,163,88
207007 - BALLINTOGHER EAST,SLIGO,54.22406006,-8.37727162,26.312602,636,417
207008 - BALLINTOGHER WEST,SLIGO,54.21445226,-8.41998629,22.804785,443,262
207009 - BALLYMOTE,SLIGO,54.08998135,-8.50923349,25.16054,2064,1054
207010 - BALLYNAKILL,SLIGO,54.16654297,-8.38300268,20.097662,475,307
207011 - BALLYNASHEE,SLIGO,54.10751152,-8.21426605,27.688844,331,197
207012 - BALLYSADARE EAST,SLIGO,54.19597677,-8.51893427,13.843376,1237,738
207013 - BALLYSADARE WEST,SLIGO,54.19381688,-8.58172165,19.537563,347,227
207014 - BANADA,SLIGO,54.03686884,-8.83186706,37.244237,597,324
207015 - BRANCHFIELD / CARROWNASKEAGH,SLIGO,54.15859862,-8.70077535,37.102207,162,99
207016 - BREENCORRAGH,SLIGO,54.111618,-8.89169388,37.719981,114,56
207017 - BRICKLIEVE,SLIGO,54.08195082,-8.4377104,14.979311,235,143
207018 - BUNCROWEY,SLIGO,54.21995109,-8.91256691,25.9234,286,146
207019 - CALRY,SLIGO,54.27271779,-8.40336232,44.961701,1702,1023
207020 - CARNEY,SLIGO,54.3473464,-8.47441137,22.633283,692,394
207021 - CARRICKBANAGHER,SLIGO,54.13866136,-8.52035064,18.998343,682,394
207023 - CARTRON,SLIGO,54.13384967,-8.65608476,16.836275,173,93
207024 - CASTLECONOR EAST,SLIGO,54.17467792,-8.99190911,28.838399,214,127
207025 - CASTLECONOR WEST,SLIGO,54.17732534,-9.08195196,36.904168,1014,599
207026 - CLIFFONY NORTH,SLIGO,54.44534552,-8.4291566,19.871232,907,506
207027 - CLIFFONY SOUTH,SLIGO,54.41364813,-8.54610716,19.680575,573,368
207029 - CLOONOGHILL,SLIGO,54.06093173,-8.59076803,16.314241,320,179
207030 - COLLOONEY,SLIGO,54.19091242,-8.46967409,26.72704,2742,1626
207031 - COOLANEY,SLIGO,54.17160189,-8.61134746,23.69415,1331,840
207032 - COOLAVIN,SLIGO,53.95705453,-8.4893262,32.163965,456,267
207033 - CUILMORE,SLIGO,54.00350012,-8.50351268,26.80203,491,285
207034 - DROMARD EAST,SLIGO,54.21940277,-8.62610538,12.884053,164,93
207035 - DROMARD WEST,SLIGO,54.21615429,-8.68144694,15.023968,197,132
207036 - DROMORE,SLIGO,54.23688438,-8.86896937,12.20376,469,283
207037 - DRUMCLIFF EAST,SLIGO,54.30776769,-8.43636733,14.019708,724,407
207038 - DRUMCLIFF WEST,SLIGO,54.31139882,-8.52139989,14.770407,1893,947
207039 - DRUMCOLUMB,SLIGO,54.15972106,-8.32657775,23.939108,293,176
207040 - DRUMFIN,SLIGO,54.11383601,-8.45220329,18.288464,390,230
207041 - DRUMRAT,SLIGO,54.0482285,-8.47857783,22.388838,530,297
207042 - EASKY EAST,SLIGO,54.26993367,-8.92249301,19.732742,595,309
207043 - EASKY WEST,SLIGO,54.26624903,-9.01129141,28.134649,677,353
207044 - GLENCAR,SLIGO,54.33606333,-8.4183553,14.075984,236,160
207045 - GLENDARRAGH,SLIGO,54.10293238,-8.83273274,37.210354,204,115
207046 - KILFREE,SLIGO,53.9797909,-8.5505097,17.332285,538,275
207047 - KILGLASS,SLIGO,54.23089373,-9.05700614,23.664848,1604,850
207048 - KILLADOON,SLIGO,54.09747254,-8.30552992,22.527788,277,147
207049 - KILLARAGHT,SLIGO,53.95685216,-8.41828877,41.720857,426,236
207050 - KILMACOWEN,SLIGO,54.24318257,-8.51526586,24.032334,2161,1361
207051 - KILMACTEIGE,SLIGO,54.06040365,-8.9273402,30.823369,224,113
207052 - KILMACTRANNY,SLIGO,54.06912154,-8.27155201,28.564418,320,188
207053 - KILSHALVY,SLIGO,54.03465647,-8.50029871,21.907191,300,159
207054 - KILTURRA,SLIGO,54.03355366,-8.59941386,16.190737,223,141
207055 - KNOCKAREE,SLIGO,54.27365377,-8.55929399,23.674425,3690,2303
207056 - LAKEVIEW,SLIGO,54.09202173,-8.37198943,17.997809,432,240
207057 - LEITRIM,SLIGO,54.0643554,-8.67351355,25.791797,365,209
207058 - LISCONNY,SLIGO,54.15188277,-8.45132783,15.886304,388,220
207059 - LISSADILL EAST,SLIGO,54.35120486,-8.56369715,17.376517,864,558
207060 - LISSADILL NORTH,SLIGO,54.38536345,-8.560081,19.422689,1475,964
207061 - LISSADILL WEST,SLIGO,54.34622232,-8.64133811,16.729043,610,346
207062 - LOUGHILL / CLOONACOOL,SLIGO,54.13293671,-8.77701149,50.405623,352,207
207063 - TEMPLEBOY SOUTH / MULLAGHERUSE,SLIGO,54.18614277,-8.86167815,82.935576,211,113
207064 - OWENMORE,SLIGO,54.09088439,-8.5919405,16.048446,118,56
207065 - RATHMACURKEY,SLIGO,54.22174501,-8.97917926,31.805323,564,305
207066 - RIVERSTOWN,SLIGO,54.12956547,-8.39080998,18.64023,689,377
207067 - ROSSINVER EAST,SLIGO,54.38751025,-8.4017474,33.809636,193,113
207068 - ROSSINVER WEST,SLIGO,54.37738409,-8.48408026,19.019358,240,177
207069 - SHANCOUGH,SLIGO,54.1352973,-8.2561035,19.649148,123,66
207070 - SKREEN,SLIGO,54.21035565,-8.73762071,30.356956,167,87
207071 - SLIGO WEST,SLIGO,54.268308,-8.4863694,5.349402,7219,3987
207072 - STREAMSTOWN,SLIGO,54.09734827,-8.65424104,19.607631,269,184
207073 - TEMPLE,SLIGO,54.12542622,-8.58341483,13.770248,349,214
207074 - TEMPLEBOY NORTH,SLIGO,54.24105855,-8.81445398,13.055088,309,176
207076 - TEMPLEVANNY,SLIGO,54.03883748,-8.39461096,23.449927,226,131
207077 - TOBERCURRY,SLIGO,54.06858906,-8.73225111,37.814041,2827,1533
207078 - TOBERPATRICK EAST,SLIGO,54.24798805,-8.66438737,10.758778,218,142
207079 - TOBERPATRICK WEST,SLIGO,54.24749153,-8.70320974,12.874487,299,172
207080 - TOOMOUR,SLIGO,54.02920069,-8.44761696,16.509278,228,126
207081 - SLIGO NORTH,SLIGO,54.27670406,-8.46802988,5.015141,5222,2149
207082 - SLIGO EAST,SLIGO,54.26229233,-8.45948725,2.772671,4998,2396
217001 - ABINGTON,TIPPERARY,52.70527536,-8.23209058,49.467966,572,334
217002 - AGHNAMEADLE,TIPPERARY,52.82027561,-7.9763959,26.339569,300,205
217003 - AGLISHCLOGHANE,TIPPERARY,53.04817168,-8.10221073,26.32479,267,161
217004 - ANNER,TIPPERARY,52.47911617,-7.55259649,24.056143,372,231
217005 - ARDCRONY,TIPPERARY,52.9233971,-8.1713697,16.502321,558,332
217006 - ARDFINNAN,TIPPERARY,52.29972319,-7.87984801,25.132919,1103,606
217007 - ARDMAYLE,TIPPERARY,52.56426406,-7.95322937,23.891921,577,317
217008 - ARDSALLAGH,TIPPERARY,52.51239253,-7.74109773,27.526185,434,286
217009 - BALLINA,TIPPERARY,52.80504,-8.39616921,25.94507,3124,1976
217010 - BALLINGARRY,TIPPERARY,52.56385614,-7.53833355,25.593998,708,337
217011 - BALLINGARRY,TIPPERARY,53.01525316,-8.0156776,40.56517,503,268
217012 - BALLYBACON,TIPPERARY,52.25768641,-7.87165778,33.904626,472,286
217013 - BALLYCAHILL,TIPPERARY,52.68470534,-7.91153475,20.507231,439,268
217014 - BALLYCARRON,TIPPERARY,52.44885271,-7.96197128,17.9971,337,217
217015 - BALLYCLERAHAN,TIPPERARY,52.38696608,-7.80197842,21.974266,1082,745
217016 - BALLYGIBBON,TIPPERARY,52.89810723,-8.10077723,28.870632,616,374
217017 - BALLYGRIFFIN,TIPPERARY,52.53138738,-7.96635192,13.920786,258,139
217018 - BALLYKISTEEN,TIPPERARY,52.51561644,-8.21438857,15.532051,761,437
217019 - BALLYLUSKY,TIPPERARY,52.93252925,-8.12221529,23.105261,337,218
217020 - BALLYMACKEY,TIPPERARY,52.87066094,-8.05937151,30.712296,547,348
217021 - BALLYMURREEN,TIPPERARY,52.61110793,-7.7482117,12.096704,271,132
217022 - BALLYNACLOGH,TIPPERARY,52.81088886,-8.163291,23.384008,677,413
217023 - BALLYPHILIP,TIPPERARY,52.59809384,-7.59202037,16.070383,448,251
217024 - BALLYPOREEN,TIPPERARY,52.24829966,-8.11062869,41.741943,921,502
217025 - BALLYSHEEHAN,TIPPERARY,52.57587401,-7.81311645,28.032507,499,290
217026 - BANSHA,TIPPERARY,52.4415043,-8.06444379,24.003629,845,461
217027 - BIRDHILL,TIPPERARY,52.76691379,-8.41499219,23.156333,733,464
217028 - BORRISNAFARNEY,TIPPERARY,52.80709169,-7.92609613,26.214549,310,192
217029 - BORRISNOE,TIPPERARY,52.86661908,-7.91314388,21.047954,119,81
217030 - BORRISOKANE,TIPPERARY,52.99982865,-8.14833732,20.794297,1254,605
217031 - BORRISOLEIGH,TIPPERARY,52.75321196,-7.975938,22.510801,1215,737
217032 - BOURNEY EAST,TIPPERARY,52.87917957,-7.76636849,22.418696,270,157
217033 - BOURNEY WEST,TIPPERARY,52.88037369,-7.8625124,24.980137,378,209
217034 - BRUIS,TIPPERARY,52.44656241,-8.23055312,15.892654,329,202
217035 - BUOLICK,TIPPERARY,52.64910804,-7.6025949,24.037967,621,352
217036 - BURGESBEG,TIPPERARY,52.81787299,-8.31763134,19.13785,430,255
217037 - BURNCOURT,TIPPERARY,52.3275471,-8.08717322,31.162514,451,247
217038 - CAHER,TIPPERARY,52.3574412,-7.89474658,11.989623,1134,626
217039 - CAPPAGH,TIPPERARY,52.59377316,-8.17579745,24.259141,875,508
217040 - CARRICK-on-SUIR RURAL,TIPPERARY,52.36637745,-7.43426386,15.762258,503,282
217041 - CARRICK-on-SUIR URBAN,TIPPERARY,52.35260423,-7.40451811,5.703369,4398,1854
217042 - CARRICKBEG URBAN,TIPPERARY,52.34074743,-7.40509374,3.774493,1496,777
217043 - CARRIG,TIPPERARY,53.06546,-7.95686786,12.31908,177,103
217044 - CARRIGATOGHER,TIPPERARY,52.82267742,-8.24866938,21.125515,702,461
217045 - CASHEL RURAL,TIPPERARY,52.51409723,-7.89794299,40.375183,2971,1751
217046 - CASHEL URBAN,TIPPERARY,52.51555862,-7.88649104,1.346528,2412,1166
217048 - CLOGHEEN,TIPPERARY,52.25761563,-8.02181431,65.810837,942,463
217049 - CLOGHER,TIPPERARY,52.64420814,-8.016499,20.672174,232,139
217050 - CLOGHJORDAN,TIPPERARY,52.9557245,-8.03635321,29.009458,1055,596
217051 - CLOGHPRIOR,TIPPERARY,52.95064122,-8.24252811,22.587776,300,186
217052 - CLOHASKIN,TIPPERARY,53.04778194,-7.99897884,19.357657,230,139
217053 - CLONBEG,TIPPERARY,52.40153871,-8.21170323,55.479663,734,393
217054 - CLONEEN,TIPPERARY,52.46753719,-7.6041324,27.181376,510,312
217055 - CLONMEL RURAL,TIPPERARY,52.37558394,-7.69808855,22.118045,5652,3612
217056 - CLONMEL WEST URBAN,TIPPERARY,52.35450205,-7.71442736,2.507945,5563,2418
217057 - CLONOULTY EAST,TIPPERARY,52.61241907,-7.93818665,18.351116,523,302
217058 - CLONOULTY WEST,TIPPERARY,52.61545875,-8.01974764,40.750236,669,361
217059 - COLMAN,TIPPERARY,52.4378148,-7.71857921,19.376493,440,310
217060 - COOLAGARRANROE,TIPPERARY,52.32355007,-8.13986447,31.76897,565,300
217061 - COOLEAGH,TIPPERARY,52.53553375,-7.671705,28.296192,549,344
217062 - CROHANE,TIPPERARY,52.56619066,-7.61078331,17.048573,254,146
217063 - CULLEN,TIPPERARY,52.50469346,-8.28245309,11.614776,289,161
217064 - CURRAHEEN,TIPPERARY,52.65312277,-8.11152782,23.626026,288,161
217065 - DERRYCASTLE,TIPPERARY,52.84038896,-8.39699786,22.649962,428,245
217066 - DERRYGRATH,TIPPERARY,52.34522455,-7.85567403,25.22284,707,447
217067 - DOLLA,TIPPERARY,52.7504539,-8.14520236,28.718743,224,140
217068 - DONOHILL,TIPPERARY,52.59249178,-8.12067846,33.652751,636,360
217069 - DRANGAN,TIPPERARY,52.52592517,-7.58430285,29.763029,671,358
217070 - DROM,TIPPERARY,52.79309652,-7.8620799,47.086654,1169,761
217071 - DRUMWOOD,TIPPERARY,52.55097399,-8.19817362,18.367749,578,344
217072 - EMLY,TIPPERARY,52.4572205,-8.34524547,22.237195,664,368
217073 - FARRANRORY,TIPPERARY,52.6139591,-7.52409754,23.743959,482,222
217074 - FENNOR,TIPPERARY,52.70452419,-7.60109409,25.876305,511,323
217075 - FINNOE,TIPPERARY,52.98451083,-8.17783506,16.087222,201,110
217076 - FOILNAMAN,TIPPERARY,52.69939853,-8.10629941,24.185128,333,202
217077 - GAILE,TIPPERARY,52.61142991,-7.86819444,16.908449,746,434
217078 - GARRANGIBBON,TIPPERARY,52.44090801,-7.48996332,36.720206,639,379
217079 - GLENGAR,TIPPERARY,52.64009294,-8.17552004,32.346006,258,145
217080 - GLENKEEN,TIPPERARY,52.76315696,-8.01414526,27.691441,427,251
217081 - GOLDEN,TIPPERARY,52.49560253,-7.97701325,20.452785,810,481
217082 - GORTKELLY,TIPPERARY,52.69568611,-7.97610618,27.639904,544,341
217083 - GRAIGUE,TIPPERARY,52.44030524,-7.78572506,17.536416,146,104
217084 - GRAIGUE,TIPPERARY,53.09568726,-8.01738233,18.469581,279,136
217085 - GRAYSTOWN,TIPPERARY,52.56913952,-7.74960803,30.54573,425,251
217087 - HOLYCROSS,TIPPERARY,52.62980597,-7.86870395,35.181954,1403,861
217088 - INCH,TIPPERARY,52.71820967,-7.9213651,14.819722,395,222
217089 - INISHLOUNAGHT,TIPPERARY,52.374044,-7.7584794,26.21697,3348,1950
217090 - KILBARRON,TIPPERARY,52.99251766,-8.25749112,46.922339,604,361
217091 - KILCASH,TIPPERARY,52.40638239,-7.55491702,36.980212,808,506
217092 - KILCOMENTY,TIPPERARY,52.7365401,-8.41573873,21.482823,693,474
217093 - KILCOMMON,TIPPERARY,52.36866886,-7.96773223,25.849341,2117,1090
217094 - KILCOOLY,TIPPERARY,52.65861595,-7.54992942,20.740436,312,174
217095 - KILCORAN,TIPPERARY,52.33682837,-8.04450682,47.391097,531,345
217096 - KILFEAKLE,TIPPERARY,52.48111876,-8.08176635,22.309516,449,261
217097 - KILKEARY,TIPPERARY,52.83743148,-8.10054961,24.748373,660,408
217098 - KILLADRIFFE,TIPPERARY,52.40875461,-7.98758835,30.522057,545,324
217100 - KILLAVINOGE,TIPPERARY,52.84302557,-7.75905741,22.670599,462,256
217101 - KILLEA,TIPPERARY,52.83275545,-7.86159356,27.25658,382,226
217102 - KILLEENASTEENA,TIPPERARY,52.46653442,-7.89977313,29.525129,692,372
217103 - KILLENAULE,TIPPERARY,52.58536124,-7.67862201,26.800299,1150,567
217104 - KILLOSCULLY,TIPPERARY,52.74701672,-8.34380117,26.280596,457,307
217105 - KILMORE,TIPPERARY,52.78609174,-8.22045936,36.488703,688,412
217106 - KILMUCKLIN,TIPPERARY,52.52272599,-8.12935963,24.7484,551,336
217107 - KILMURRY,TIPPERARY,52.38884118,-7.48355276,22.166352,354,217
217108 - KILNANEAVE,TIPPERARY,52.78020901,-8.08750367,29.454674,451,291
217109 - KILNARATH,TIPPERARY,52.72616741,-8.31662024,32.659081,331,202
217110 - KILPATRICK,TIPPERARY,52.55483596,-8.06793426,30.575194,897,526
217111 - KILRUSH,TIPPERARY,52.72160656,-7.83808016,24.43819,499,335
217112 - KILSHEELAN / KILLALOAN,TIPPERARY,52.38014424,-7.58990185,33.628194,1436,849
217113 - KILTINAN,TIPPERARY,52.43023954,-7.63794475,25.734196,313,190
217114 - KILVEMNON,TIPPERARY,52.48696359,-7.46860472,18.851607,429,277
217115 - KNIGH,TIPPERARY,52.91653494,-8.22458879,23.626148,772,444
217116 - KNOCKGRAFFON,TIPPERARY,52.42177801,-7.87826962,34.827532,780,449
217117 - GREENHALL / LACKAGH,TIPPERARY,52.77354641,-8.29252529,36.020687,395,255
217118 - LATTERAGH,TIPPERARY,52.82749468,-8.03085171,27.947708,684,377
217119 - LATTIN,TIPPERARY,52.44938366,-8.28274864,15.891915,493,295
217120 - LISRONAGH,TIPPERARY,52.4081573,-7.70240977,19.44234,883,598
217121 - LITTLETON,TIPPERARY,52.64265333,-7.72460446,26.563528,1102,580
217122 - LONGFORDPASS,TIPPERARY,52.7075184,-7.67586962,25.354692,320,202
217123 - LORRHA EAST,TIPPERARY,53.08970499,-8.08059976,29.915559,296,151
217124 - LORRHA WEST,TIPPERARY,53.10549575,-8.16741753,30.05706,310,171
217125 - LOUGHMORE,TIPPERARY,52.76386908,-7.81070132,29.429686,632,402
217126 - MAGORBAN,TIPPERARY,52.50967283,-7.80797761,33.489157,624,428
217127 - MERTONHALL,TIPPERARY,52.96009731,-8.10185661,16.429831,172,89
217128 - MODESHIL,TIPPERARY,52.56606634,-7.48545776,24.657536,346,199
217129 - MONSEA,TIPPERARY,52.9045296,-8.2881679,23.064665,642,397
217130 - MORTLESTOWN,TIPPERARY,52.39280367,-7.8708153,19.038021,1777,1027
217131 - MOYALIFF,TIPPERARY,52.65502201,-7.97988337,23.607696,394,234
217132 - MOYCARKY,TIPPERARY,52.61685386,-7.79845244,15.546487,517,309
217133 - MOYNE,TIPPERARY,52.74005182,-7.71544108,32.799277,552,360
217134 - MULLINAHONE,TIPPERARY,52.51505683,-7.4949217,19.498214,859,399
217135 - NENAGH RURAL,TIPPERARY,52.86740087,-8.1972667,33.932605,1870,1149
217136 - NENAGH WEST URBAN,TIPPERARY,52.86347515,-8.21086393,3.77023,5481,2804
217137 - NEW BIRMINGHAM,TIPPERARY,52.60593527,-7.65287823,15.630446,432,202
217138 - NEWCASTLE,TIPPERARY,52.24734652,-7.79250592,36.363919,727,418
217139 - NEWPORT,TIPPERARY,52.6993658,-8.38741874,29.056446,2949,1766
217140 - NEWTOWN,TIPPERARY,52.41206384,-7.41963721,22.03847,416,238
217141 - NODSTOWN,TIPPERARY,52.56686476,-7.87612291,21.11718,567,358
217142 - OUGHTERLEAGUE,TIPPERARY,52.55428216,-8.01159946,17.336742,533,264
217143 - PEPPARDSTOWN,TIPPERARY,52.48007123,-7.67883049,44.888152,1393,807
217144 - POYNTSTOWN,TIPPERARY,52.63284151,-7.63298186,13.575538,176,96
217145 - RAHELTY,TIPPERARY,52.70890088,-7.76151141,26.025702,772,478
217146 - RATHCABBAN,TIPPERARY,53.12327644,-8.0416404,18.755304,304,170
217147 - RATHLYNIN,TIPPERARY,52.51216138,-8.0569243,16.160996,370,212
217148 - RATHNAVEOGE,TIPPERARY,52.90837825,-7.83887048,18.367513,262,136
217149 - REDWOOD,TIPPERARY,53.13817164,-8.09571198,22.21872,139,78
217150 - RIVERSTOWN,TIPPERARY,53.11104577,-7.96739538,20.418869,555,355
217151 - RODUS,TIPPERARY,52.47983132,-8.36825209,17.174479,250,144
217152 - ROSCREA,TIPPERARY,52.94268346,-7.78467047,48.426161,6305,3195
217153 - SHRONELL,TIPPERARY,52.4794891,-8.26991321,16.991088,370,218
217154 - SOLLOGHODBEG,TIPPERARY,52.51946909,-8.16965775,10.399768,222,149
217155 - TEMPLEDERRY,TIPPERARY,52.7306538,-8.10023716,23.209357,123,64
217156 - TEMPLEMORE,TIPPERARY,52.79359964,-7.8323304,4.401181,1946,945
217157 - TEMPLENEIRY,TIPPERARY,52.40520698,-8.08605821,40.952998,400,218
217158 - TEMPLETOUHY,TIPPERARY,52.80047394,-7.73515868,41.899899,816,455
